galaxy,stage8_class,n_points,delta_aic_tvc_minus_baryonic_fit,delta_aic_tvc_minus_nfw_like,delta_aic_tvc_minus_rar_like,broad_free_dAIC_tvc_minus_baryonic_fit,broad_free_dAIC_tvc_minus_nfw_like,broad_free_dAIC_tvc_minus_rar_like,broad_free_tvc_boundary,broad_free_tvc_core_boundary,broad_free_tvc_nuisance_boundary,rrf_rc_over_rlast,rrf_A_over_vouter2,v_outer_kms,v_max_kms,gas_fraction_proxy,outer_baryon_fraction_proxy,best_n,delta_aic_locked_minus_best_continuum,locked_within_2_of_best,locked_within_10_of_best,grid_count_within_10_of_best,dcrra2_taxonomy_class,dcrra2_confidence,dcrra2_rationale,dcrra3_recommended_class,dcrra3_class_stability,pathology_guard,nuisance_guard,rrf_beats_baryonic_guard,rrf_beats_rar_guard,rrf_competes_nfw_guard,nfw_dominant_guard,rar_dominant_guard,central_best_n_guard,scale_band_guard
IC2574,ROBUST-DIAGNOSTIC-CANDIDATE,34,-1927.52156887383,-995.8096166870456,-104.2429228179731,-1927.52156887383,-995.8096166870456,-104.2429228179731,0,0,0,0.8283831339269393,1.1254730942061557,63.8,67.5,0.2116150179551619,0.2876462741128723,1.5,113.1095552004418,0,0,2,UNRESOLVED_OR_WEAK,LOW,"weak, unresolved, or outside provisional rules; parent_stage8=ROBUST-DIAGNOSTIC-CANDIDATE",SN_RRF_FAMILY_LIKE,CAUTION-RECLASSIFY,0,0,1,1,1,0,0,1,1
IC4202,ROBUST-DIAGNOSTIC-CANDIDATE,32,-949.7138527575872,-466.048224382347,-892.8168511817622,-949.7138527575872,-466.048224382347,-892.8168511817622,0,0,0,0.1278974859817548,0.8366724070067261,244.0020491717232,250.0,0.0123581127406597,0.7197173681912087,5.25,73.38762729008931,0,0,11,UNRESOLVED_OR_WEAK,LOW,"weak, unresolved, or outside provisional rules; parent_stage8=ROBUST-DIAGNOSTIC-CANDIDATE",UNRESOLVED_OR_WEAK,STABLE,0,0,1,1,1,0,0,0,1
KK98-251,ROBUST-DIAGNOSTIC-CANDIDATE,15,-100.62833965815712,-18.844241427182432,-267.92874972876456,-100.62833965815712,-18.844241427182432,-267.92874972876456,0,0,0,0.6517010558274364,0.7000395472910395,33.752999866678515,34.6,0.6284665887812021,0.4100048715619281,2.5,1.33656441512536,1,1,20,SN_RRF_FAMILY_LIKE,MEDIUM-HIGH,RRF improves over baryonic/RAR and is competitive with NFW; continuum best-n in central family range; parent_stage8=ROBUST-DIAGNOSTIC-CANDIDATE,SN_RRF_FAMILY_LIKE,STABLE,0,0,1,1,1,0,0,1,1
NGC0024,ROBUST-DIAGNOSTIC-CANDIDATE,29,-634.8091012517107,7.135648329728966,1.4709637220976326,-634.8091012517107,7.135648329728966,1.4709637220976326,0,0,0,0.0810573064565123,0.9278399647960706,107.0,110.0,0.0319716696243104,0.3737699973796838,2.0,11.47495175481254,0,0,7,UNRESOLVED_OR_WEAK,LOW,"weak, unresolved, or outside provisional rules; parent_stage8=ROBUST-DIAGNOSTIC-CANDIDATE",MIXED_COMPETITIVE,WEAK-MISMATCH,0,0,1,0,1,0,0,1,1
NGC0055,ROBUST-DIAGNOSTIC-CANDIDATE,21,-352.0809818820793,-29.681438627097965,-73.65768440958334,-352.0809818820793,-29.681438627097965,-73.65768440958334,0,0,0,0.3935160498339721,0.6793056427322015,86.1500145095751,87.4,0.4279721391830404,0.4450151950497351,2.5,7.051930215369249,0,1,7,SN_RRF_FAMILY_LIKE,MEDIUM-HIGH,RRF improves over baryonic/RAR and is competitive with NFW; continuum best-n in central family range; parent_stage8=ROBUST-DIAGNOSTIC-CANDIDATE,SN_RRF_FAMILY_LIKE,STABLE,0,0,1,1,1,0,0,1,1
NGC0100,ROBUST-DIAGNOSTIC-CANDIDATE,21,-185.8095272620149,-11.88790242640696,-20.18171009238028,-185.8095272620149,-11.88790242640696,-20.18171009238028,0,0,0,0.4751104934531729,0.7894762601547056,88.25318691129516,91.2,0.0717130771642955,0.2797471119741931,2.0,6.4971619481819065,0,1,11,SN_RRF_FAMILY_LIKE,MEDIUM-HIGH,RRF improves over baryonic/RAR and is competitive with NFW; continuum best-n in central family range; parent_stage8=ROBUST-DIAGNOSTIC-CANDIDATE,SN_RRF_FAMILY_LIKE,STABLE,0,0,1,1,1,0,0,1,1
NGC0247,BARYONIC-ONLY-IMPROVEMENT-NFW-DOMINANT,26,-307.1325333679682,41.81432121165855,-20.2454513605798,-307.1325333679682,41.81432121165855,-20.2454513605798,1,0,1,0.1210005570401167,0.0972548888846179,105.0,108.0,0.1711993075392346,0.3700970975056689,1.25,125.4607541050141,0,0,3,NUISANCE_SENSITIVE,MEDIUM,nuisance-sensitive parent class or nuisance boundary; parent_stage8=BARYONIC-ONLY-IMPROVEMENT-NFW-DOMINANT,NUISANCE_SENSITIVE,STABLE,0,1,1,1,0,1,0,1,1
NGC0289,ROBUST-DIAGNOSTIC-CANDIDATE,28,-1124.2274814652092,1.4314844918150629,-159.51554937528147,-1124.2274814652092,1.4314844918150629,-159.51554937528147,0,0,0,0.0141162959225653,0.8675265699891052,166.0,194.0,0.2416826300158278,0.3135273116562636,1.0,7.840947999027563,0,1,18,SN_RRF_FAMILY_LIKE,MEDIUM-HIGH,RRF improves over baryonic/RAR and is competitive with NFW; continuum best-n in central family range; parent_stage8=ROBUST-DIAGNOSTIC-CANDIDATE,UNRESOLVED_OR_WEAK,WEAK-MISMATCH,0,0,1,1,1,0,0,1,0
NGC0300,WEAK-OR-REGIME-DEPENDENT-SIGNAL,25,-1087.0519845576289,-0.3395588176050452,-14.373724476774868,-1087.0519845576289,-0.3395588176050452,-14.373724476774868,0,0,0,0.4784997912371106,0.8048134135329373,93.7,97.0,0.1550053289260283,0.2263246196619698,1.5,31.841602384673216,0,0,6,UNRESOLVED_OR_WEAK,LOW,"weak, unresolved, or outside provisional rules; parent_stage8=WEAK-OR-REGIME-DEPENDENT-SIGNAL",SN_RRF_FAMILY_LIKE,CAUTION-RECLASSIFY,0,0,1,1,1,0,0,1,1
NGC0801,ROBUST-DIAGNOSTIC-CANDIDATE,13,-564.6064449009364,9.690841994559634,-386.4126969769308,-564.6064449009364,9.690841994559634,-386.4126969769308,0,0,0,0.5127765548207415,0.5713750930334038,216.0,238.0,0.0231009928853863,0.7427947498713993,12.0,11.706741522449748,0,0,30,UNRESOLVED_OR_WEAK,LOW,"weak, unresolved, or outside provisional rules; parent_stage8=ROBUST-DIAGNOSTIC-CANDIDATE",PATHOLOGY_ARCHIVE,CAUTION-RECLASSIFY,1,0,1,1,1,0,0,0,1
