galaxy,dcrra4_triangle_class,proxy_centroid_predicted_class,correct,nearest_centroid_margin
NGC5985,SN_RRF_FAMILY_TRIANGLE_DOMINANT,NFW_TRIANGLE_DOMINANT,0,0.7409490558783913
NGC6015,SN_RRF_FAMILY_TRIANGLE_DOMINANT,SN_RRF_FAMILY_TRIANGLE_DOMINANT,1,0.32854635900096674
NGC6195,SN_RRF_FAMILY_TRIANGLE_DOMINANT,NFW_TRIANGLE_DOMINANT,0,0.6146286702322801
NGC6503,SN_RRF_FAMILY_TRIANGLE_DOMINANT,SN_RRF_FAMILY_TRIANGLE_DOMINANT,1,0.5143391433393756
NGC6674,PATHOLOGY_ARCHIVE,UNRESOLVED_TRIANGULAR,0,0.14080331675653213
NGC6946,SN_RRF_RAR_ADVANTAGE_NFW_COMPETITIVE,NFW_TRIANGLE_DOMINANT,0,0.4235670653062549
NGC7331,NUISANCE_SENSITIVE,NFW_TRIANGLE_DOMINANT,0,1.1068538691440366
NGC7793,SN_RRF_FAMILY_TRIANGLE_DOMINANT,NFW_TRIANGLE_DOMINANT,0,0.480043838094399
NGC7814,NUISANCE_SENSITIVE,NFW_TRIANGLE_DOMINANT,0,0.7839285989115388
UGC00128,NUISANCE_SENSITIVE,NUISANCE_SENSITIVE,1,1.511882800236497
UGC00191,SN_RRF_RAR_ADVANTAGE_NFW_COMPETITIVE,THREE_WAY_COMPETITIVE,0,0.34750046044252647
UGC00731,NUISANCE_SENSITIVE,NUISANCE_SENSITIVE,1,1.576145602253689
UGC01230,SN_RRF_RAR_ADVANTAGE_NFW_COMPETITIVE,SN_RRF_RAR_ADVANTAGE_NFW_COMPETITIVE,1,0.210168595255531
UGC01281,UNRESOLVED_TRIANGULAR,NUISANCE_SENSITIVE,0,0.2299474442165499
UGC02259,NUISANCE_SENSITIVE,NUISANCE_SENSITIVE,1,0.4246468342441174
UGC02455,PATHOLOGY_ARCHIVE,PATHOLOGY_ARCHIVE,1,2089.095032854805
UGC02487,SN_RRF_FAMILY_TRIANGLE_DOMINANT,NFW_TRIANGLE_DOMINANT,0,0.7509033298234371
UGC02885,SN_RRF_FAMILY_TRIANGLE_DOMINANT,NFW_TRIANGLE_DOMINANT,0,0.6463572610462385
UGC02916,NUISANCE_SENSITIVE,NFW_TRIANGLE_DOMINANT,0,0.28638579301672706
UGC02953,SN_RRF_FAMILY_TRIANGLE_DOMINANT,NFW_TRIANGLE_DOMINANT,0,0.5164295606609457
UGC03205,SN_RRF_FAMILY_TRIANGLE_DOMINANT,NFW_TRIANGLE_DOMINANT,0,0.6151112366862641
UGC03546,SN_RRF_FAMILY_TRIANGLE_DOMINANT,NFW_TRIANGLE_DOMINANT,0,1.00369146291757
UGC03580,NFW_TRIANGLE_DOMINANT,SN_RRF_FAMILY_TRIANGLE_DOMINANT,0,0.6402066461446347
UGC04278,SN_RRF_FAMILY_TRIANGLE_DOMINANT,UNRESOLVED_TRIANGULAR,0,0.5402103958321858
UGC04305,SN_RRF_RAR_ADVANTAGE_NFW_COMPETITIVE,SN_RRF_RAR_ADVANTAGE_NFW_COMPETITIVE,1,0.05881773430635562
UGC04325,SN_RRF_RAR_ADVANTAGE_NFW_COMPETITIVE,THREE_WAY_COMPETITIVE,0,0.053276086962287694
UGC04483,SN_RRF_RAR_ADVANTAGE_NFW_COMPETITIVE,NUISANCE_SENSITIVE,0,1.2905433565758915
UGC04499,SN_RRF_RAR_ADVANTAGE_NFW_COMPETITIVE,NUISANCE_SENSITIVE,0,0.8134336246119416
UGC05005,THREE_WAY_COMPETITIVE,NUISANCE_SENSITIVE,0,0.03850703752122375
UGC05253,SN_RRF_FAMILY_TRIANGLE_DOMINANT,NFW_TRIANGLE_DOMINANT,0,0.7512223102734579
UGC05716,NUISANCE_SENSITIVE,NUISANCE_SENSITIVE,1,1.7805450686294422
UGC05721,SN_RRF_FAMILY_TRIANGLE_DOMINANT,NUISANCE_SENSITIVE,0,0.9713323846591624
UGC05750,THREE_WAY_COMPETITIVE,SN_RRF_RAR_ADVANTAGE_NFW_COMPETITIVE,0,0.05906424068086347
UGC05764,NUISANCE_SENSITIVE,NUISANCE_SENSITIVE,1,1.5377140814471009
UGC05829,NUISANCE_SENSITIVE,NUISANCE_SENSITIVE,1,0.9404166668520504
UGC05918,NUISANCE_SENSITIVE,NUISANCE_SENSITIVE,1,0.6363552890592565
UGC05986,SN_RRF_FAMILY_TRIANGLE_DOMINANT,THREE_WAY_COMPETITIVE,0,0.22825441480873243
UGC06399,THREE_WAY_COMPETITIVE,THREE_WAY_COMPETITIVE,1,0.48940960815575596
UGC06446,NUISANCE_SENSITIVE,NUISANCE_SENSITIVE,1,1.7292088524279505
UGC06614,THREE_WAY_COMPETITIVE,NFW_TRIANGLE_DOMINANT,0,0.18461276565097418
UGC06667,NUISANCE_SENSITIVE,NUISANCE_SENSITIVE,1,1.7105049401357348
UGC06786,NUISANCE_SENSITIVE,NFW_TRIANGLE_DOMINANT,0,0.180668882892574
