galaxy,source_zone,injection_type,noise_level,background_mix,predicted_type,recovered,failure_boundary_score_proxy,rss_RESPONSE_FAMILY_LIKE,rss_HALO_LIKE,rss_RAR_LIKE,rss_NUISANCE_GRADIENT,rss_PATHOLOGY_OUTLIER,rss_MIXED_RESPONSE_HALO,corr_RESPONSE_FAMILY_LIKE,corr_HALO_LIKE,corr_RAR_LIKE,corr_NUISANCE_GRADIENT,corr_PATHOLOGY_OUTLIER,corr_MIXED_RESPONSE_HALO
UGC02455,PATHOLOGY_ARCHIVE_ZONE,RESPONSE_FAMILY_LIKE,MEDIUM,0.25,NUISANCE_GRADIENT,False,0.0,0.3316469376376215,0.2565360586792381,0.24778773009997523,0.21052965437618276,0.9545614485660012,0.29646338089415325,0.8175286309129355,0.8622435510462007,0.8673017179159886,0.8885214379089665,0.213163203752427,0.8387708978653508
UGC02455,PATHOLOGY_ARCHIVE_ZONE,RESPONSE_FAMILY_LIKE,HIGH,0.4,NUISANCE_GRADIENT,False,0.0,0.7498585790456995,0.6810015505259146,0.6710712940972591,0.6337339547655737,0.9752953799989276,0.7208423239985764,0.500141400960069,0.5647994772254002,0.5735230648393672,0.6051991781508187,0.15717703394921387,0.5283537413527263
UGC02455,PATHOLOGY_ARCHIVE_ZONE,HALO_LIKE,LOW,0.1,RAR_LIKE,False,0.0,0.1139577456103604,0.05689687468283451,0.05270389105228505,0.06279561958205676,0.9915301476760388,0.08429330878618871,0.941298175069749,0.9711349676111792,0.973291379263022,0.9680931672199445,0.09203180061240344,0.9569256456035712
UGC02455,PATHOLOGY_ARCHIVE_ZONE,HALO_LIKE,MEDIUM,0.25,NUISANCE_GRADIENT,False,0.0,0.4063296523790151,0.3097704544322602,0.29745121061600227,0.26941443520455527,0.957564766763459,0.36331173933085326,0.7705000633491116,0.8308005449972574,0.8381818355130333,0.8547429817175713,0.20599813891523636,0.7979274783269132
UGC02455,PATHOLOGY_ARCHIVE_ZONE,HALO_LIKE,HIGH,0.4,NUISANCE_GRADIENT,False,0.0,0.7281498591185858,0.638374823545546,0.6245194089066954,0.5311770318367683,0.8649085660482643,0.6909472792493303,0.5213925017502785,0.6013527886810321,0.6127647110378539,0.6847064832198042,0.3675478662048465,0.5559251035442361
UGC02455,PATHOLOGY_ARCHIVE_ZONE,RAR_LIKE,LOW,0.1,NUISANCE_GRADIENT,False,0.0,0.11976008693819051,0.045127373442563457,0.03837194513054081,0.03163505007700668,0.9647784013651087,0.08309655519274277,0.9382110173419463,0.9771758421888235,0.9806263584411032,0.9840553591759934,0.18767418212127931,0.9575507531234347
UGC02455,PATHOLOGY_ARCHIVE_ZONE,RAR_LIKE,MEDIUM,0.25,NUISANCE_GRADIENT,False,0.0,0.47385135833794517,0.3682777586448866,0.3538481689637518,0.27677867423143915,0.9508261490817451,0.42792789593174885,0.7253610422831205,0.7948095629489579,0.8038356990307463,0.850424203423539,0.22175177771160026,0.7563544830753972
UGC02455,PATHOLOGY_ARCHIVE_ZONE,RAR_LIKE,HIGH,0.4,NUISANCE_GRADIENT,False,0.0,0.721777855027216,0.659179461575655,0.650096136405099,0.617469312575259,0.9343030231726825,0.694872627108395,0.5274676719693673,0.5837983713786338,0.5915267226380402,0.6184906526575328,0.2563142150317017,0.5523833568198855
UGC02455,PATHOLOGY_ARCHIVE_ZONE,NUISANCE_GRADIENT,LOW,0.1,NUISANCE_GRADIENT,True,0.0,0.18247253703885646,0.09076133582998358,0.08029006055285633,0.03062651398663254,0.953251785984232,0.13950127661407336,0.9041722529259253,0.9535400695146568,0.9590150882270538,0.9845676645174609,0.21621335300061342,0.9276307042061115
UGC02455,PATHOLOGY_ARCHIVE_ZONE,NUISANCE_GRADIENT,MEDIUM,0.25,NUISANCE_GRADIENT,True,0.0,0.526395663800069,0.3941993256707336,0.37401060735321806,0.2699091719233567,0.9300985216523069,0.47076127412917834,0.6881891718124682,0.7783319820804401,0.7911949144469913,0.8544535259899412,0.2643888771255195,0.7274879558252642
