galaxy,zone,s,residual_norm_v2_proxy,vobs_norm,snrrf_kernel_proxy_norm
UGC08550,NUISANCE_SENSITIVE_ZONE,0.05,0.09767621928166353,0.43478260869565216,0.0259500294412723
UGC08550,NUISANCE_SENSITIVE_ZONE,0.07436,0.09767621928166353,0.43478260869565216,0.045834550963956035
UGC08550,NUISANCE_SENSITIVE_ZONE,0.09872,0.11626198754480158,0.4595991304347826,0.06801363963457252
UGC08550,NUISANCE_SENSITIVE_ZONE,0.12308,0.17826469398260875,0.5423878260869566,0.091578913359676
UGC08550,NUISANCE_SENSITIVE_ZONE,0.14744,0.2402674004204159,0.6251765217391304,0.11587538166330544
UGC08550,NUISANCE_SENSITIVE_ZONE,0.17179,0.30224465418727164,0.7079312318840579,0.1404076877016297
UGC08550,NUISANCE_SENSITIVE_ZONE,0.19615,0.33975680113675616,0.7546957217391304,0.1648351618590728
UGC08550,NUISANCE_SENSITIVE_ZONE,0.22051,0.36245806521471763,0.7796742539130435,0.18888165418257882
UGC08550,NUISANCE_SENSITIVE_ZONE,0.24487,0.38515932929267904,0.8046527860869565,0.21235461766569166
UGC08550,NUISANCE_SENSITIVE_ZONE,0.26923,0.40786059337064046,0.8296313182608696,0.2351187773240986
UGC08550,NUISANCE_SENSITIVE_ZONE,0.29359,0.42032659326427224,0.8392888,0.2570833656773483
UGC08550,NUISANCE_SENSITIVE_ZONE,0.31795,0.4301333822003781,0.8449657391304348,0.27819200265102145
UGC08550,NUISANCE_SENSITIVE_ZONE,0.34231,0.43994017113648404,0.8506426782608696,0.2984146498555052
UGC08550,NUISANCE_SENSITIVE_ZONE,0.36667,0.45125016786465966,0.8563059960958297,0.3177412238415758
UGC08550,NUISANCE_SENSITIVE_ZONE,0.39103,0.47384248758190506,0.8618670793256433,0.3361765454525929
UGC08550,NUISANCE_SENSITIVE_ZONE,0.41538,0.4964255329478709,0.8674258796805678,0.35372933402986095
UGC08550,NUISANCE_SENSITIVE_ZONE,0.43974,0.5190178526651164,0.8729869629103815,0.37043757039683345
UGC08550,NUISANCE_SENSITIVE_ZONE,0.4641,0.5412976627977315,0.8785902608695652,0.38632284522888594
UGC08550,NUISANCE_SENSITIVE_ZONE,0.48846,0.563032317905482,0.8842672,0.4014176796932794
UGC08550,NUISANCE_SENSITIVE_ZONE,0.51282,0.5847669730132327,0.8899441391304348,0.4157567132059324
UGC08550,NUISANCE_SENSITIVE_ZONE,0.53718,0.6065016281209831,0.8956210782608696,0.42937562397263057
UGC08550,NUISANCE_SENSITIVE_ZONE,0.56154,0.6251878466158436,0.9024939499556345,0.44231032136867243
UGC08550,NUISANCE_SENSITIVE_ZONE,0.5859,0.6424927448149687,0.909908727595386,0.4545963509084827
UGC08550,NUISANCE_SENSITIVE_ZONE,0.61026,0.6597976430140937,0.9173235052351376,0.46626846463301796
UGC08550,NUISANCE_SENSITIVE_ZONE,0.63462,0.6771025412132187,0.9247382828748891,0.47736031950909996
UGC08550,NUISANCE_SENSITIVE_ZONE,0.65897,0.6952074969607057,0.9336213942028986,0.4879000540334754
UGC08550,NUISANCE_SENSITIVE_ZONE,0.68333,0.7133756932205167,0.9426098811594203,0.49792724739472927
UGC08550,NUISANCE_SENSITIVE_ZONE,0.70769,0.7315438894803278,0.951598368115942,0.5074668969410797
UGC08550,NUISANCE_SENSITIVE_ZONE,0.73205,0.749879236658087,0.9614340034782608,0.516546913295878
UGC08550,NUISANCE_SENSITIVE_ZONE,0.75641,0.7686933672287819,0.973696192,0.5251936848764021
UGC08550,NUISANCE_SENSITIVE_ZONE,0.78077,0.7875074977994768,0.9859583805217391,0.5334321040873
UGC08550,NUISANCE_SENSITIVE_ZONE,0.80513,0.8063216283701717,0.9982205690434783,0.5412856097991132
UGC08550,NUISANCE_SENSITIVE_ZONE,0.82949,0.8122594498384599,1.0042224241348714,0.5487762409915163
UGC08550,NUISANCE_SENSITIVE_ZONE,0.85385,0.8010867339382276,1.001905306122449,0.5559246976497808
UGC08550,NUISANCE_SENSITIVE_ZONE,0.87821,0.7899140180379953,0.9995881881100266,0.5627504059484678
UGC08550,NUISANCE_SENSITIVE_ZONE,0.90256,0.7787458886385431,0.9972720212954747,0.5692689685977401
UGC08550,NUISANCE_SENSITIVE_ZONE,0.92692,0.7759791444204157,0.9971615304347826,0.575502814719704
UGC08550,NUISANCE_SENSITIVE_ZONE,0.95128,0.777237614868809,0.9981076869565217,0.5814652150186225
UGC08550,NUISANCE_SENSITIVE_ZONE,0.97564,0.7784960853172023,0.9990538434782609,0.5871711715917363
UGC08550,NUISANCE_SENSITIVE_ZONE,1.0,0.7797545557655955,1.0,0.5926347425008991
UGC08699,RESPONSE_FAMILY_DOMINANT_ZONE,0.05,-0.5801600513616816,1.0910176779741996,0.07589567663194331
UGC08699,RESPONSE_FAMILY_DOMINANT_ZONE,0.07436,-0.2563544027299267,1.10989010989011,0.1059024785836372
UGC08699,RESPONSE_FAMILY_DOMINANT_ZONE,0.09872,-0.208673277314334,1.0653764521193092,0.13241909817100284
UGC08699,RESPONSE_FAMILY_DOMINANT_ZONE,0.12308,-0.1755783021934286,1.0076414708965946,0.15602099901529173
UGC08699,RESPONSE_FAMILY_DOMINANT_ZONE,0.14744,-0.11849327521748254,0.990624564128451,0.1771637251077819
UGC08699,RESPONSE_FAMILY_DOMINANT_ZONE,0.17179,-0.06143168216065628,0.973614642954219,0.19620515859913737
UGC08699,RESPONSE_FAMILY_DOMINANT_ZONE,0.19615,-0.004346655184710224,0.9565977361860755,0.21345722081407387
UGC08699,RESPONSE_FAMILY_DOMINANT_ZONE,0.22051,0.05273837179123589,0.9395808294179319,0.22915466266071574
UGC08699,RESPONSE_FAMILY_DOMINANT_ZONE,0.24487,0.11840116028213547,0.9557022477522478,0.24349855973138135
UGC08699,RESPONSE_FAMILY_DOMINANT_ZONE,0.26923,0.18420321528986303,0.9873998430141288,0.256656744518762
UGC08699,RESPONSE_FAMILY_DOMINANT_ZONE,0.29359,0.22114412804091133,1.0095568550497123,0.2687704036916153
UGC08699,RESPONSE_FAMILY_DOMINANT_ZONE,0.31795,0.23097397144963855,1.0253539178213091,0.2799591642305486
UGC08699,RESPONSE_FAMILY_DOMINANT_ZONE,0.34231,0.2294346748670083,1.032967032967033,0.2903250573979019
UGC08699,RESPONSE_FAMILY_DOMINANT_ZONE,0.36667,0.2364115459974932,1.0284170595533497,0.2999556391472343
UGC08699,RESPONSE_FAMILY_DOMINANT_ZONE,0.39103,0.2585533987593725,1.021978021978022,0.30892646923343686
UGC08699,RESPONSE_FAMILY_DOMINANT_ZONE,0.41538,0.2874793620144234,1.0137975208791208,0.31729977285305644
UGC08699,RESPONSE_FAMILY_DOMINANT_ZONE,0.43974,0.31036181134176066,1.0027900131868133,0.32513955416836243
UGC08699,RESPONSE_FAMILY_DOMINANT_ZONE,0.4641,0.32785508551143666,0.9933472356658886,0.3324923041460718
UGC08699,RESPONSE_FAMILY_DOMINANT_ZONE,0.48846,0.34351862073259654,0.9844357171326084,0.3394020393905975
UGC08699,RESPONSE_FAMILY_DOMINANT_ZONE,0.51282,0.35918215595375647,0.9755241985993282,0.3459076274855645
UGC08699,RESPONSE_FAMILY_DOMINANT_ZONE,0.53718,0.37479162556483064,0.9700185605603188,0.35204351851026616
UGC08699,RESPONSE_FAMILY_DOMINANT_ZONE,0.56154,0.39037370286681017,0.9662385098418066,0.35784035529072117
UGC08699,RESPONSE_FAMILY_DOMINANT_ZONE,0.5859,0.40595578016878964,0.9624584591232943,0.36332548520767344
UGC08699,RESPONSE_FAMILY_DOMINANT_ZONE,0.61026,0.429004446639408,0.9642495535714286,0.3685233916036014
