galaxy,zone,winner_existing_aic,winner_existing_aic_family,winner_existing_aic_score,winner_existing_aicc,winner_existing_aicc_family,winner_existing_aicc_score,winner_existing_bic,winner_existing_bic_family,winner_existing_bic_score,winner_poly_degree_aic,winner_poly_degree_aic_degree,winner_poly_degree_aic_score,winner_poly_degree_aicc,winner_poly_degree_aicc_degree,winner_poly_degree_aicc_score,winner_poly_degree_bic,winner_poly_degree_bic_degree,winner_poly_degree_bic_score,phase5_winning_comparator,phase5_winning_comparator_family,phase5_overflex_winner
NGC2841,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-76.32763886789027,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-349.53438473312355,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-340.0157350726477,POLY6_NULL,6,-270.70493820421666,POLY6_NULL,6,-267.20493820421666,POLY3_NULL,3,-259.7872366013688,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,True
NGC2903,HALO_COMPARATOR_DOMINANT_ZONE,BARYONIC_MISMATCH_PROXY,BARYONIC_SYSTEMATICS_PROXY,61.2751592613153,BARYONIC_MISMATCH_PROXY,BARYONIC_SYSTEMATICS_PROXY,-140.24027935580318,BARYONIC_MISMATCH_PROXY,BARYONIC_SYSTEMATICS_PROXY,-137.5746550807644,POLY6_NULL,6,-200.36602456290694,POLY6_NULL,6,-196.86602456290694,POLY6_NULL,6,-188.5438683841094,BARYONIC_MISMATCH_PROXY,BARYONIC_SYSTEMATICS_PROXY,False
NGC2915,RESPONSE_FAMILY_DOMINANT_ZONE,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-51.10356768866185,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-155.25683493274755,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-150.50182455581808,POLY6_NULL,6,-237.0700817634115,POLY6_NULL,6,-233.5700817634115,POLY6_NULL,6,-225.24792558461397,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,True
NGC2955,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,13.260003164666784,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-118.47138809821891,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-116.34424158671946,POLY5_NULL,5,-238.22945449475256,POLY5_NULL,5,-235.68399994929803,POLY5_NULL,5,-228.09617777006895,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,True
NGC2976,RESPONSE_FAMILY_DOMINANT_ZONE,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-37.91087824668708,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-177.62213296285307,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-174.04711176682707,POLY6_NULL,6,-299.9145132890925,POLY6_NULL,6,-296.4145132890925,POLY6_NULL,6,-288.0923571102949,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,True
NGC2998,RESPONSE_FAMILY_DOMINANT_ZONE,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-6.369475218059232,EINASTO_LIKE_SURROGATE_DIAGNOSTIC,HALO_OR_CORED_COMPARATOR,-55.41158762674301,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-62.99497148557592,POLY5_NULL,5,-316.36855301600895,POLY5_NULL,5,-313.8230984705544,POLY5_NULL,5,-306.2352762913253,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,True
NGC3109,NUISANCE_SENSITIVE_ZONE,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-74.49007371167858,EINASTO_LIKE_SURROGATE_DIAGNOSTIC,HALO_OR_CORED_COMPARATOR,-197.8106386806257,EINASTO_LIKE_SURROGATE_DIAGNOSTIC,HALO_OR_CORED_COMPARATOR,-195.9183415763438,POLY5_NULL,5,-353.5160651499249,POLY5_NULL,5,-350.9706106044703,POLY5_NULL,5,-343.38278842524124,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,True
NGC3198,RESPONSE_FAMILY_DOMINANT_ZONE,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-9.777907338046802,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-258.54613591453176,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-250.3122685537037,POLY6_NULL,6,-301.6106647314396,POLY6_NULL,6,-298.1106647314396,POLY6_NULL,6,-289.78850855264204,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,True
NGC3521,RESPONSE_FAMILY_DOMINANT_ZONE,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-62.371975725246216,BARYONIC_MISMATCH_PROXY,BARYONIC_SYSTEMATICS_PROXY,-252.83576358708228,BARYONIC_MISMATCH_PROXY,BARYONIC_SYSTEMATICS_PROXY,-249.7244089273579,POLY6_NULL,6,-284.87649217059334,POLY6_NULL,6,-281.37649217059334,POLY6_NULL,6,-273.05433599179577,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,True
NGC3726,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,4.112527835780481,NUISANCE_GRADIENT_PROXY,NUISANCE_PROXY,-57.41930760113015,NUISANCE_GRADIENT_PROXY,NUISANCE_PROXY,-57.78282763488748,POLY6_NULL,6,-276.92464470498743,POLY6_NULL,6,-273.42464470498743,POLY6_NULL,6,-265.10248852618986,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,True
