galaxy,zone,best_comparator,within_2_count,within_10_count,within_2_comparators,within_10_comparators,overflex_within_2,overflex_winner
NGC4100,HALO_COMPARATOR_DOMINANT_ZONE,SN_RRF_SATURATING_FAMILY,2,5,SN_RRF_SATURATING_FAMILY|OVERFLEX_POLY5_NULL,SN_RRF_SATURATING_FAMILY|OVERFLEX_POLY5_NULL|SN_RRF_LOCKED_N3_258993|BARYONIC_MISMATCH_PROXY|EINASTO_LIKE_SURROGATE_DIAGNOSTIC,True,False
NGC4157,NUISANCE_SENSITIVE_ZONE,OVERFLEX_POLY5_NULL,1,1,OVERFLEX_POLY5_NULL,OVERFLEX_POLY5_NULL,True,True
NGC4183,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,OVERFLEX_POLY5_NULL,1,1,OVERFLEX_POLY5_NULL,OVERFLEX_POLY5_NULL,True,True
NGC4214,RESPONSE_FAMILY_DOMINANT_ZONE,OVERFLEX_POLY5_NULL,1,1,OVERFLEX_POLY5_NULL,OVERFLEX_POLY5_NULL,True,True
NGC4217,PATHOLOGY_ARCHIVE_ZONE,OVERFLEX_POLY5_NULL,1,1,OVERFLEX_POLY5_NULL,OVERFLEX_POLY5_NULL,True,True
NGC4559,RESPONSE_FAMILY_DOMINANT_ZONE,OVERFLEX_POLY5_NULL,1,1,OVERFLEX_POLY5_NULL,OVERFLEX_POLY5_NULL,True,True
NGC5005,MIXED_THREE_WAY_COMPETITIVE_ZONE,OVERFLEX_POLY5_NULL,1,2,OVERFLEX_POLY5_NULL,OVERFLEX_POLY5_NULL|NUISANCE_GRADIENT_PROXY,True,True
NGC5033,HALO_COMPARATOR_DOMINANT_ZONE,OVERFLEX_POLY5_NULL,1,1,OVERFLEX_POLY5_NULL,OVERFLEX_POLY5_NULL,True,True
NGC5055,RESPONSE_FAMILY_DOMINANT_ZONE,OVERFLEX_POLY5_NULL,1,1,OVERFLEX_POLY5_NULL,OVERFLEX_POLY5_NULL,True,True
NGC5371,PATHOLOGY_ARCHIVE_ZONE,OVERFLEX_POLY5_NULL,1,1,OVERFLEX_POLY5_NULL,OVERFLEX_POLY5_NULL,True,True
NGC5585,RESPONSE_FAMILY_DOMINANT_ZONE,OVERFLEX_POLY5_NULL,1,1,OVERFLEX_POLY5_NULL,OVERFLEX_POLY5_NULL,True,True
NGC5907,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,OVERFLEX_POLY5_NULL,1,1,OVERFLEX_POLY5_NULL,OVERFLEX_POLY5_NULL,True,True
NGC5985,RESPONSE_FAMILY_DOMINANT_ZONE,OVERFLEX_POLY5_NULL,1,1,OVERFLEX_POLY5_NULL,OVERFLEX_POLY5_NULL,True,True
NGC6015,RESPONSE_FAMILY_DOMINANT_ZONE,OVERFLEX_POLY5_NULL,1,1,OVERFLEX_POLY5_NULL,OVERFLEX_POLY5_NULL,True,True
NGC6195,RESPONSE_FAMILY_DOMINANT_ZONE,OVERFLEX_POLY5_NULL,1,1,OVERFLEX_POLY5_NULL,OVERFLEX_POLY5_NULL,True,True
NGC6503,RESPONSE_FAMILY_DOMINANT_ZONE,OVERFLEX_POLY5_NULL,2,2,OVERFLEX_POLY5_NULL|BARYONIC_MISMATCH_PROXY,OVERFLEX_POLY5_NULL|BARYONIC_MISMATCH_PROXY,True,True
NGC6674,PATHOLOGY_ARCHIVE_ZONE,OVERFLEX_POLY5_NULL,1,2,OVERFLEX_POLY5_NULL,OVERFLEX_POLY5_NULL|NUISANCE_GRADIENT_PROXY,True,True
NGC6946,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,OVERFLEX_POLY5_NULL,1,2,OVERFLEX_POLY5_NULL,OVERFLEX_POLY5_NULL|BARYONIC_MISMATCH_PROXY,True,True
NGC7331,NUISANCE_SENSITIVE_ZONE,OVERFLEX_POLY5_NULL,1,1,OVERFLEX_POLY5_NULL,OVERFLEX_POLY5_NULL,True,True
NGC7793,RESPONSE_FAMILY_DOMINANT_ZONE,OVERFLEX_POLY5_NULL,1,1,OVERFLEX_POLY5_NULL,OVERFLEX_POLY5_NULL,True,True
NGC7814,NUISANCE_SENSITIVE_ZONE,OVERFLEX_POLY5_NULL,1,1,OVERFLEX_POLY5_NULL,OVERFLEX_POLY5_NULL,True,True
UGC00128,NUISANCE_SENSITIVE_ZONE,SN_RRF_SATURATING_FAMILY,3,4,SN_RRF_SATURATING_FAMILY|CORED_ISOTHERMAL_LIKE_DIAGNOSTIC|OVERFLEX_POLY5_NULL,SN_RRF_SATURATING_FAMILY|CORED_ISOTHERMAL_LIKE_DIAGNOSTIC|OVERFLEX_POLY5_NULL|NFW_LIKE_DIAGNOSTIC,True,False
UGC00191,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,OVERFLEX_POLY5_NULL,1,1,OVERFLEX_POLY5_NULL,OVERFLEX_POLY5_NULL,True,True
UGC00731,NUISANCE_SENSITIVE_ZONE,OVERFLEX_POLY5_NULL,1,1,OVERFLEX_POLY5_NULL,OVERFLEX_POLY5_NULL,True,True
UGC01230,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,SN_RRF_SATURATING_FAMILY,3,3,SN_RRF_SATURATING_FAMILY|EINASTO_LIKE_SURROGATE_DIAGNOSTIC|SN_RRF_LOCKED_N3_258993,SN_RRF_SATURATING_FAMILY|EINASTO_LIKE_SURROGATE_DIAGNOSTIC|SN_RRF_LOCKED_N3_258993,False,False
UGC01281,UNRESOLVED_TRIANGULAR_ZONE,OVERFLEX_POLY5_NULL,1,1,OVERFLEX_POLY5_NULL,OVERFLEX_POLY5_NULL,True,True
UGC02259,NUISANCE_SENSITIVE_ZONE,OVERFLEX_POLY5_NULL,1,2,OVERFLEX_POLY5_NULL,OVERFLEX_POLY5_NULL|SN_RRF_SATURATING_FAMILY,True,True
UGC02455,PATHOLOGY_ARCHIVE_ZONE,BARYONIC_MISMATCH_PROXY,1,2,BARYONIC_MISMATCH_PROXY,BARYONIC_MISMATCH_PROXY|OVERFLEX_POLY5_NULL,False,False
UGC02487,RESPONSE_FAMILY_DOMINANT_ZONE,OVERFLEX_POLY5_NULL,1,1,OVERFLEX_POLY5_NULL,OVERFLEX_POLY5_NULL,True,True
UGC02885,RESPONSE_FAMILY_DOMINANT_ZONE,OVERFLEX_POLY5_NULL,1,8,OVERFLEX_POLY5_NULL,OVERFLEX_POLY5_NULL|NUISANCE_GRADIENT_PROXY|SN_RRF_LOCKED_N3_258993|CORED_ISOTHERMAL_LIKE_DIAGNOSTIC|BURKERT_LIKE_CORED_HALO_DIAGNOSTIC|SN_RRF_SATURATING_FAMILY|EINASTO_LIKE_SURROGATE_DIAGNOSTIC|BARYONIC_MISMATCH_PROXY,True,True
UGC02916,NUISANCE_SENSITIVE_ZONE,OVERFLEX_POLY5_NULL,1,1,OVERFLEX_POLY5_NULL,OVERFLEX_POLY5_NULL,True,True
UGC02953,RESPONSE_FAMILY_DOMINANT_ZONE,OVERFLEX_POLY5_NULL,1,1,OVERFLEX_POLY5_NULL,OVERFLEX_POLY5_NULL,True,True
UGC03205,RESPONSE_FAMILY_DOMINANT_ZONE,OVERFLEX_POLY5_NULL,4,7,OVERFLEX_POLY5_NULL|SN_RRF_LOCKED_N3_258993|CORED_ISOTHERMAL_LIKE_DIAGNOSTIC|BURKERT_LIKE_CORED_HALO_DIAGNOSTIC,OVERFLEX_POLY5_NULL|SN_RRF_LOCKED_N3_258993|CORED_ISOTHERMAL_LIKE_DIAGNOSTIC|BURKERT_LIKE_CORED_HALO_DIAGNOSTIC|SN_RRF_SATURATING_FAMILY|NUISANCE_GRADIENT_PROXY|EINASTO_LIKE_SURROGATE_DIAGNOSTIC,True,True
UGC03546,RESPONSE_FAMILY_DOMINANT_ZONE,OVERFLEX_POLY5_NULL,1,1,OVERFLEX_POLY5_NULL,OVERFLEX_POLY5_NULL,True,True
UGC03580,HALO_COMPARATOR_DOMINANT_ZONE,OVERFLEX_POLY5_NULL,1,2,OVERFLEX_POLY5_NULL,OVERFLEX_POLY5_NULL|BARYONIC_MISMATCH_PROXY,True,True
UGC04278,RESPONSE_FAMILY_DOMINANT_ZONE,OVERFLEX_POLY5_NULL,1,1,OVERFLEX_POLY5_NULL,OVERFLEX_POLY5_NULL,True,True
UGC04305,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,OVERFLEX_POLY5_NULL,1,1,OVERFLEX_POLY5_NULL,OVERFLEX_POLY5_NULL,True,True
UGC04325,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,OVERFLEX_POLY5_NULL,1,1,OVERFLEX_POLY5_NULL,OVERFLEX_POLY5_NULL,True,True
UGC04483,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,OVERFLEX_POLY5_NULL,1,7,OVERFLEX_POLY5_NULL,OVERFLEX_POLY5_NULL|SN_RRF_LOCKED_N3_258993|BARYONIC_MISMATCH_PROXY|SN_RRF_SATURATING_FAMILY|CORED_ISOTHERMAL_LIKE_DIAGNOSTIC|BURKERT_LIKE_CORED_HALO_DIAGNOSTIC|EINASTO_LIKE_SURROGATE_DIAGNOSTIC,True,True
UGC04499,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,OVERFLEX_POLY5_NULL,1,6,OVERFLEX_POLY5_NULL,OVERFLEX_POLY5_NULL|SN_RRF_SATURATING_FAMILY|EINASTO_LIKE_SURROGATE_DIAGNOSTIC|BURKERT_LIKE_CORED_HALO_DIAGNOSTIC|CORED_ISOTHERMAL_LIKE_DIAGNOSTIC|SN_RRF_LOCKED_N3_258993,True,True
UGC05005,MIXED_THREE_WAY_COMPETITIVE_ZONE,OVERFLEX_POLY5_NULL,1,1,OVERFLEX_POLY5_NULL,OVERFLEX_POLY5_NULL,True,True
UGC05253,RESPONSE_FAMILY_DOMINANT_ZONE,OVERFLEX_POLY5_NULL,1,1,OVERFLEX_POLY5_NULL,OVERFLEX_POLY5_NULL,True,True
UGC05716,NUISANCE_SENSITIVE_ZONE,OVERFLEX_POLY5_NULL,1,1,OVERFLEX_POLY5_NULL,OVERFLEX_POLY5_NULL,True,True
