comparator,aic,rss,galaxy,zone,rotmod_points,Rlast_kpc,delta_aic_vs_best,params_json,comparator_family
NFW_LIKE_DIAGNOSTIC,34.95104173307934,1.5239588462634899,NGC0289,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,28,71.12,25.904793273696363,"{""amplitude"": 0.5851375061611824, ""scale"": 1.25}",HALO_OR_CORED_COMPARATOR
BURKERT_LIKE_CORED_HALO_DIAGNOSTIC,26.7416201066734,1.2348670871642766,NGC0289,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,28,71.12,17.695371647290415,"{""amplitude"": 0.5247671067397552, ""scale"": 0.3}",HALO_OR_CORED_COMPARATOR
CORED_ISOTHERMAL_LIKE_DIAGNOSTIC,29.589532463300806,1.2352154724504307,NGC0289,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,28,71.12,20.543284003917826,"{""amplitude"": 0.5906372715100533, ""scale"": 0.2}",HALO_OR_CORED_COMPARATOR
EINASTO_LIKE_SURROGATE_DIAGNOSTIC,26.142048477679683,1.075690416183927,NGC0289,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,28,71.12,17.0958000182967,"{""amplitude"": 0.5274832813142856, ""extra"": 1.4, ""scale"": 0.15}",HALO_OR_CORED_COMPARATOR
BARYONIC_MISMATCH_PROXY,19.609133716081125,0.7835811938579701,NGC0289,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,28,71.12,10.562885256698143,"{""gas_coef"": 4.7316083648077045, ""stellar_coef"": -0.061689351472044816}",BARYONIC_SYSTEMATICS_PROXY
NUISANCE_GRADIENT_PROXY,43.810462690957515,1.8269083688257874,NGC0289,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,28,71.12,34.764214231574535,"{""intercept"": 0.07292265722409587, ""slope"": 0.6006148448454949}",NUISANCE_PROXY
OVERFLEX_POLY5_NULL,9.046248459382982,0.49860070958762887,NGC0289,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,28,71.12,0.0,"{""coef"": [-0.848762373767399, 11.557637324781833, -50.4714778503218, 112.05938198694366, -115.37865763561106, 43.63890660516175], ""degree"": 5}",OVERFLEX_NULL
SN_RRF_LOCKED_N3_258993,-1.6348976025533464,0.12484003017975534,NGC0300,RESPONSE_FAMILY_DOMINANT_ZONE,25,11.8,28.141215449233464,"{""amplitude"": 0.6749719004706161, ""scale"": 0.3}",SN_RRF_FAMILY
SN_RRF_SATURATING_FAMILY,-23.153389000959574,0.07522342791390343,NGC0300,RESPONSE_FAMILY_DOMINANT_ZONE,25,11.8,6.622724050827234,"{""amplitude"": 0.7981503942342509, ""n"": 1.5, ""scale"": 0.65}",SN_RRF_FAMILY
NFW_LIKE_DIAGNOSTIC,-5.992570037456749,0.07576757356373648,NGC0300,RESPONSE_FAMILY_DOMINANT_ZONE,25,11.8,23.783543014330057,"{""amplitude"": 0.7606404844953838, ""scale"": 2.0}",HALO_OR_CORED_COMPARATOR
BURKERT_LIKE_CORED_HALO_DIAGNOSTIC,-20.35721257294042,0.08990932504951821,NGC0300,RESPONSE_FAMILY_DOMINANT_ZONE,25,11.8,9.418900478846389,"{""amplitude"": 0.7844697295943315, ""scale"": 0.5}",HALO_OR_CORED_COMPARATOR
CORED_ISOTHERMAL_LIKE_DIAGNOSTIC,-25.540291237926652,0.06418857048713761,NGC0300,RESPONSE_FAMILY_DOMINANT_ZONE,25,11.8,4.235821813860156,"{""amplitude"": 0.7666056702418926, ""scale"": 0.25}",HALO_OR_CORED_COMPARATOR
EINASTO_LIKE_SURROGATE_DIAGNOSTIC,-19.932839428953724,0.06424790341063367,NGC0300,RESPONSE_FAMILY_DOMINANT_ZONE,25,11.8,9.843273622833085,"{""amplitude"": 0.7738352840504589, ""extra"": 0.6, ""scale"": 0.1}",HALO_OR_CORED_COMPARATOR
BARYONIC_MISMATCH_PROXY,20.99390114183264,0.4954911365019381,NGC0300,RESPONSE_FAMILY_DOMINANT_ZONE,25,11.8,50.770014193619446,"{""gas_coef"": 7.888004545907394, ""stellar_coef"": 0.8257094359487868}",BARYONIC_SYSTEMATICS_PROXY
NUISANCE_GRADIENT_PROXY,-13.813993998291526,0.1356246985205766,NGC0300,RESPONSE_FAMILY_DOMINANT_ZONE,25,11.8,15.962119053495282,"{""intercept"": 0.002051878969717719, ""slope"": 0.881256726947936}",NUISANCE_PROXY
OVERFLEX_POLY5_NULL,-29.77611305178681,0.049466568527832155,NGC0300,RESPONSE_FAMILY_DOMINANT_ZONE,25,11.8,0.0,"{""coef"": [0.06525312415703835, -1.8533418087003124, 21.221023340622725, -57.88825503553765, 65.38928942128962, -26.278573497901554], ""degree"": 5}",OVERFLEX_NULL
SN_RRF_LOCKED_N3_258993,45.117437668850386,0.7867088026396708,NGC0801,PATHOLOGY_ARCHIVE_ZONE,13,59.82,37.253514934329694,"{""amplitude"": 0.3113111724658294, ""scale"": 2.0}",SN_RRF_FAMILY
SN_RRF_SATURATING_FAMILY,46.89675557220576,0.7733772089542509,NGC0801,PATHOLOGY_ARCHIVE_ZONE,13,59.82,39.03283283768507,"{""amplitude"": 0.3094072128645657, ""n"": 8.0, ""scale"": 0.8}",SN_RRF_FAMILY
NFW_LIKE_DIAGNOSTIC,46.899952613803045,0.9268935400494578,NGC0801,PATHOLOGY_ARCHIVE_ZONE,13,59.82,39.03602987928235,"{""amplitude"": 0.06300185875849554, ""scale"": 2.0}",HALO_OR_CORED_COMPARATOR
BURKERT_LIKE_CORED_HALO_DIAGNOSTIC,45.752685823151516,0.8306042493902068,NGC0801,PATHOLOGY_ARCHIVE_ZONE,13,59.82,37.888763088630824,"{""amplitude"": 0.20583551279241258, ""scale"": 2.0}",HALO_OR_CORED_COMPARATOR
CORED_ISOTHERMAL_LIKE_DIAGNOSTIC,45.631372588552495,0.8214780674901981,NGC0801,PATHOLOGY_ARCHIVE_ZONE,13,59.82,37.7674498540318,"{""amplitude"": 0.22413634864377843, ""scale"": 2.0}",HALO_OR_CORED_COMPARATOR
EINASTO_LIKE_SURROGATE_DIAGNOSTIC,47.03462319785426,0.7823849953375495,NGC0801,PATHOLOGY_ARCHIVE_ZONE,13,59.82,39.17070046333357,"{""amplitude"": 0.34585701236003014, ""extra"": 1.4, ""scale"": 2.0}",HALO_OR_CORED_COMPARATOR
BARYONIC_MISMATCH_PROXY,17.310516607872486,0.09128618499522881,NGC0801,PATHOLOGY_ARCHIVE_ZONE,13,59.82,9.446593873351796,"{""gas_coef"": 5.218810480847075, ""stellar_coef"": -0.3226540723181189}",BARYONIC_SYSTEMATICS_PROXY
NUISANCE_GRADIENT_PROXY,7.86392273452069,0.04404067295087641,NGC0801,PATHOLOGY_ARCHIVE_ZONE,13,59.82,0.0,"{""intercept"": -0.3801343067167171, ""slope"": 0.6850782973464025}",NUISANCE_PROXY
OVERFLEX_POLY5_NULL,11.173353863104408,0.03073727665353783,NGC0801,PATHOLOGY_ARCHIVE_ZONE,13,59.82,3.309431128583718,"{""coef"": [-0.270685095560648, -2.5845435642210846, 19.05363918750637, -44.266243041716265, 45.07788963536537, -16.710428646002597], ""degree"": 5}",OVERFLEX_NULL
SN_RRF_LOCKED_N3_258993,95.33436141450457,8.614532754742424,NGC0891,RESPONSE_FAMILY_DOMINANT_ZONE,18,17.11,76.36419719844012,"{""amplitude"": 0.0, ""scale"": 0.05}",SN_RRF_FAMILY
SN_RRF_SATURATING_FAMILY,97.32630700814565,8.61131506950129,NGC0891,RESPONSE_FAMILY_DOMINANT_ZONE,18,17.11,78.3561427920812,"{""amplitude"": 0.048109436166146456, ""n"": 12.0, ""scale"": 2.0}",SN_RRF_FAMILY
NFW_LIKE_DIAGNOSTIC,95.33436141450457,8.614532754742424,NGC0891,RESPONSE_FAMILY_DOMINANT_ZONE,18,17.11,76.36419719844012,"{""amplitude"": 0.0, ""scale"": 0.05}",HALO_OR_CORED_COMPARATOR
BURKERT_LIKE_CORED_HALO_DIAGNOSTIC,95.33436141450457,8.614532754742424,NGC0891,RESPONSE_FAMILY_DOMINANT_ZONE,18,17.11,76.36419719844012,"{""amplitude"": 0.0, ""scale"": 0.05}",HALO_OR_CORED_COMPARATOR
CORED_ISOTHERMAL_LIKE_DIAGNOSTIC,95.33436141450457,8.614532754742424,NGC0891,RESPONSE_FAMILY_DOMINANT_ZONE,18,17.11,76.36419719844012,"{""amplitude"": 0.0, ""scale"": 0.05}",HALO_OR_CORED_COMPARATOR
EINASTO_LIKE_SURROGATE_DIAGNOSTIC,97.33436141450457,8.614532754742424,NGC0891,RESPONSE_FAMILY_DOMINANT_ZONE,18,17.11,78.36419719844012,"{""amplitude"": 0.0, ""extra"": 0.4, ""scale"": 0.05}",HALO_OR_CORED_COMPARATOR
BARYONIC_MISMATCH_PROXY,43.53620389148865,0.5388505201009651,NGC0891,RESPONSE_FAMILY_DOMINANT_ZONE,18,17.11,24.5660396754242,"{""gas_coef"": 10.820202463089784, ""stellar_coef"": -0.49725612195722296}",BARYONIC_SYSTEMATICS_PROXY
NUISANCE_GRADIENT_PROXY,52.4851833128881,1.2735184733947689,NGC0891,RESPONSE_FAMILY_DOMINANT_ZONE,18,17.11,33.51501909682365,"{""intercept"": -1.419428024707978, ""slope"": 1.6819779319594168}",NUISANCE_PROXY
OVERFLEX_POLY5_NULL,18.970164216064447,0.07770033153291818,NGC0891,RESPONSE_FAMILY_DOMINANT_ZONE,18,17.11,0.0,"{""coef"": [0.6723849907697277, -30.321812721380986, 148.16087259156652, -290.8276211266198, 257.8277859497647, -85.4960185834166], ""degree"": 5}",OVERFLEX_NULL
SN_RRF_LOCKED_N3_258993,35.31938396641094,0.2179381014057025,NGC1003,RESPONSE_FAMILY_DOMINANT_ZONE,36,30.24,31.08893895182325,"{""amplitude"": 0.7293518494576524, ""scale"": 0.3}",SN_RRF_FAMILY
SN_RRF_SATURATING_FAMILY,15.723970111664082,0.12168956339204029,NGC1003,RESPONSE_FAMILY_DOMINANT_ZONE,36,30.24,11.493525097076393,"{""amplitude"": 0.804840730971459, ""n"": 2.0, ""scale"": 0.4}",SN_RRF_FAMILY
NFW_LIKE_DIAGNOSTIC,31.389576724351482,0.20226219807617726,NGC1003,RESPONSE_FAMILY_DOMINANT_ZONE,36,30.24,27.15913170976379,"{""amplitude"": 0.8357047944214255, ""scale"": 2.0}",HALO_OR_CORED_COMPARATOR
BURKERT_LIKE_CORED_HALO_DIAGNOSTIC,16.620895425079894,0.1322566670907408,NGC1003,RESPONSE_FAMILY_DOMINANT_ZONE,36,30.24,12.390450410492203,"{""amplitude"": 0.8436818983426493, ""scale"": 0.5}",HALO_OR_CORED_COMPARATOR
CORED_ISOTHERMAL_LIKE_DIAGNOSTIC,11.62197551968703,0.11585549287735201,NGC1003,RESPONSE_FAMILY_DOMINANT_ZONE,36,30.24,7.3915305050993405,"{""amplitude"": 0.8292981643592375, ""scale"": 0.25}",HALO_OR_CORED_COMPARATOR
EINASTO_LIKE_SURROGATE_DIAGNOSTIC,19.52271381804158,0.13721841318542696,NGC1003,RESPONSE_FAMILY_DOMINANT_ZONE,36,30.24,15.29226880345389,"{""amplitude"": 0.8405648405471209, ""extra"": 0.6, ""scale"": 0.1}",HALO_OR_CORED_COMPARATOR
BARYONIC_MISMATCH_PROXY,93.59335486720616,1.1599198314573371,NGC1003,RESPONSE_FAMILY_DOMINANT_ZONE,36,30.24,89.36290985261847,"{""gas_coef"": 9.23121766615398, ""stellar_coef"": -0.3796784926419236}",BARYONIC_SYSTEMATICS_PROXY
NUISANCE_GRADIENT_PROXY,39.38382639249683,0.25544653740628925,NGC1003,RESPONSE_FAMILY_DOMINANT_ZONE,36,30.24,35.15338137790914,"{""intercept"": 0.01160203794175022, ""slope"": 0.9289095761135113}",NUISANCE_PROXY
OVERFLEX_POLY5_NULL,4.23044501458769,0.07833506839305504,NGC1003,RESPONSE_FAMILY_DOMINANT_ZONE,36,30.24,0.0,"{""coef"": [-0.23694247055351975, 2.4479211716615557, -0.18312715516147315, -8.380541731048627, 13.536576440185073, -6.390002199596225], ""degree"": 5}",OVERFLEX_NULL
SN_RRF_LOCKED_N3_258993,22.438419445816688,0.13902566252234871,NGC1090,HALO_COMPARATOR_DOMINANT_ZONE,24,30.09,23.786503240054586,"{""amplitude"": 0.409538868255211, ""scale"": 0.8}",SN_RRF_FAMILY
SN_RRF_SATURATING_FAMILY,22.74826654276497,0.12911176817233783,NGC1090,HALO_COMPARATOR_DOMINANT_ZONE,24,30.09,24.096350337002868,"{""amplitude"": 0.3890268905650246, ""n"": 6.0, ""scale"": 0.65}",SN_RRF_FAMILY
NFW_LIKE_DIAGNOSTIC,41.160753652517954,0.3355955418896683,NGC1090,HALO_COMPARATOR_DOMINANT_ZONE,24,30.09,42.508837446755855,"{""amplitude"": 0.2982955951696444, ""scale"": 2.0}",HALO_OR_CORED_COMPARATOR
BURKERT_LIKE_CORED_HALO_DIAGNOSTIC,25.35929629981027,0.16149114919789687,NGC1090,HALO_COMPARATOR_DOMINANT_ZONE,24,30.09,26.70738009404817,"{""amplitude"": 0.4112730855971991, ""scale"": 2.0}",HALO_OR_CORED_COMPARATOR
CORED_ISOTHERMAL_LIKE_DIAGNOSTIC,24.9858385871866,0.15783814995344073,NGC1090,HALO_COMPARATOR_DOMINANT_ZONE,24,30.09,26.333922381424497,"{""amplitude"": 0.42272451187688737, ""scale"": 1.6}",HALO_OR_CORED_COMPARATOR
EINASTO_LIKE_SURROGATE_DIAGNOSTIC,24.809010207980684,0.140587280028944,NGC1090,HALO_COMPARATOR_DOMINANT_ZONE,24,30.09,26.15709400221858,"{""amplitude"": 0.4258215082793645, ""extra"": 1.4, ""scale"": 0.4}",HALO_OR_CORED_COMPARATOR
BARYONIC_MISMATCH_PROXY,18.878692157196742,0.13364659582331323,NGC1090,HALO_COMPARATOR_DOMINANT_ZONE,24,30.09,20.22677595143464,"{""gas_coef"": 5.035856091564694, ""stellar_coef"": -0.10748586533381974}",BARYONIC_SYSTEMATICS_PROXY
NUISANCE_GRADIENT_PROXY,-1.3480837942378985,0.05907779553240683,NGC1090,HALO_COMPARATOR_DOMINANT_ZONE,24,30.09,0.0,"{""intercept"": -0.17904265724617346, ""slope"": 0.5935998082332937}",NUISANCE_PROXY
OVERFLEX_POLY5_NULL,1.061006771514407,0.05087348339577152,NGC1090,HALO_COMPARATOR_DOMINANT_ZONE,24,30.09,2.4090905657523054,"{""coef"": [-0.138890671533447, -0.40425148461276916, 6.3242406129767685, -17.138607480927863, 20.464293973223512, -8.754005792395818], ""degree"": 5}",OVERFLEX_NULL
SN_RRF_LOCKED_N3_258993,-12.95775830849212,0.09033382444715475,NGC1705,NUISANCE_SENSITIVE_ZONE,14,6.0,24.774987766898366,"{""amplitude"": 0.7864425261227521, ""scale"": 0.15}",SN_RRF_FAMILY
SN_RRF_SATURATING_FAMILY,-34.492631353633996,0.01885383869218395,NGC1705,NUISANCE_SENSITIVE_ZONE,14,6.0,3.240114721756491,"{""amplitude"": 0.8713604952141644, ""n"": 1.0, ""scale"": 0.15}",SN_RRF_FAMILY
NFW_LIKE_DIAGNOSTIC,-33.44161757552645,0.019317677120422937,NGC1705,NUISANCE_SENSITIVE_ZONE,14,6.0,4.291128499864037,"{""amplitude"": 0.8285509101278188, ""scale"": 0.4}",HALO_OR_CORED_COMPARATOR
BURKERT_LIKE_CORED_HALO_DIAGNOSTIC,-12.85616054695912,0.11734700520696625,NGC1705,NUISANCE_SENSITIVE_ZONE,14,6.0,24.876585528431367,"{""amplitude"": 0.7808732655349369, ""scale"": 0.15}",HALO_OR_CORED_COMPARATOR
CORED_ISOTHERMAL_LIKE_DIAGNOSTIC,-27.628171456520295,0.034350424070016636,NGC1705,NUISANCE_SENSITIVE_ZONE,14,6.0,10.104574618870192,"{""amplitude"": 0.8309597445618471, ""scale"": 0.05}",HALO_OR_CORED_COMPARATOR
EINASTO_LIKE_SURROGATE_DIAGNOSTIC,-12.926180548706057,0.07864818694190917,NGC1705,NUISANCE_SENSITIVE_ZONE,14,6.0,24.80656552668443,"{""amplitude"": 0.7701405902723276, ""extra"": 1.0, ""scale"": 0.05}",HALO_OR_CORED_COMPARATOR
BARYONIC_MISMATCH_PROXY,14.323079606533982,0.5928246473101875,NGC1705,NUISANCE_SENSITIVE_ZONE,14,6.0,52.05582568192447,"{""gas_coef"": 20.62703700528289, ""stellar_coef"": -1.2573101073493769}",BARYONIC_SYSTEMATICS_PROXY
NUISANCE_GRADIENT_PROXY,-6.620153444232585,0.15970426305459917,NGC1705,NUISANCE_SENSITIVE_ZONE,14,6.0,31.112592631157902,"{""intercept"": 0.46006723026858215, ""slope"": 0.551998393023972}",NUISANCE_PROXY
OVERFLEX_POLY5_NULL,-37.73274607539049,0.010458638222245404,NGC1705,NUISANCE_SENSITIVE_ZONE,14,6.0,0.0,"{""coef"": [0.15138939076920258, 2.37269910720192, 0.07039646425058388, -11.562781593570284, 17.69987137031548, -7.902930307587039], ""degree"": 5}",OVERFLEX_NULL
SN_RRF_LOCKED_N3_258993,-20.233236293577367,0.12027951415007888,NGC2366,RESPONSE_FAMILY_DOMINANT_ZONE,26,6.06,25.638362249107995,"{""amplitude"": 0.6808847699424795, ""scale"": 0.4}",SN_RRF_FAMILY
SN_RRF_SATURATING_FAMILY,-18.233236293577367,0.12027951415007888,NGC2366,RESPONSE_FAMILY_DOMINANT_ZONE,26,6.06,27.638362249107995,"{""amplitude"": 0.6808847699424795, ""n"": 3.258993, ""scale"": 0.4}",SN_RRF_FAMILY
NFW_LIKE_DIAGNOSTIC,28.65602305392495,0.2714842196565393,NGC2366,RESPONSE_FAMILY_DOMINANT_ZONE,26,6.06,74.52762159661032,"{""amplitude"": 0.6727393349981036, ""scale"": 2.0}",HALO_OR_CORED_COMPARATOR
BURKERT_LIKE_CORED_HALO_DIAGNOSTIC,4.072212885912061,0.19253276828127108,NGC2366,RESPONSE_FAMILY_DOMINANT_ZONE,26,6.06,49.94381142859742,"{""amplitude"": 0.708352574965859, ""scale"": 0.5}",HALO_OR_CORED_COMPARATOR
CORED_ISOTHERMAL_LIKE_DIAGNOSTIC,6.366683054431169,0.2148399204199692,NGC2366,RESPONSE_FAMILY_DOMINANT_ZONE,26,6.06,52.23828159711653,"{""amplitude"": 0.7250963313986274, ""scale"": 0.3}",HALO_OR_CORED_COMPARATOR
EINASTO_LIKE_SURROGATE_DIAGNOSTIC,-10.652481312003896,0.13281771853944335,NGC2366,RESPONSE_FAMILY_DOMINANT_ZONE,26,6.06,35.21911723068146,"{""amplitude"": 0.6789098019310125, ""extra"": 1.4, ""scale"": 0.2}",HALO_OR_CORED_COMPARATOR
BARYONIC_MISMATCH_PROXY,-23.228675363248477,0.11386383705739624,NGC2366,RESPONSE_FAMILY_DOMINANT_ZONE,26,6.06,22.642923179436885,"{""gas_coef"": 2.771604490967346, ""stellar_coef"": -0.09675815085488645}",BARYONIC_SYSTEMATICS_PROXY
NUISANCE_GRADIENT_PROXY,18.915661221672103,0.5073861959547804,NGC2366,RESPONSE_FAMILY_DOMINANT_ZONE,26,6.06,64.78725976435746,"{""intercept"": -0.06648810523184452, ""slope"": 0.948777238968203}",NUISANCE_PROXY
OVERFLEX_POLY5_NULL,-45.87159854268536,0.015583138355214002,NGC2366,RESPONSE_FAMILY_DOMINANT_ZONE,26,6.06,0.0,"{""coef"": [0.04330193512811142, -1.8587978473542217, 13.116670555647064, -19.697193297676765, 9.847574008838434, -0.9302644536956298], ""degree"": 5}",OVERFLEX_NULL
SN_RRF_LOCKED_N3_258993,22.031883757864247,0.26580713254146426,NGC2403,RESPONSE_FAMILY_DOMINANT_ZONE,73,20.87,59.70058472680084,"{""amplitude"": 0.6913035437122051, ""scale"": 0.3}",SN_RRF_FAMILY
SN_RRF_SATURATING_FAMILY,14.388244869154907,0.2469510041592493,NGC2403,RESPONSE_FAMILY_DOMINANT_ZONE,73,20.87,52.056945838091494,"{""amplitude"": 0.6808069715137999, ""n"": 4.0, ""scale"": 0.3}",SN_RRF_FAMILY
NFW_LIKE_DIAGNOSTIC,125.36680817372013,0.9828994652804462,NGC2403,RESPONSE_FAMILY_DOMINANT_ZONE,73,20.87,163.03550914265674,"{""amplitude"": 0.7630532303585211, ""scale"": 2.0}",HALO_OR_CORED_COMPARATOR
BURKERT_LIKE_CORED_HALO_DIAGNOSTIC,50.990622002182626,0.35061471502046077,NGC2403,RESPONSE_FAMILY_DOMINANT_ZONE,73,20.87,88.65932297111922,"{""amplitude"": 0.8135773115054188, ""scale"": 0.5}",HALO_OR_CORED_COMPARATOR
CORED_ISOTHERMAL_LIKE_DIAGNOSTIC,52.590991388091155,0.3601191958742657,NGC2403,RESPONSE_FAMILY_DOMINANT_ZONE,73,20.87,90.25969235702775,"{""amplitude"": 0.8323382072326615, ""scale"": 0.3}",HALO_OR_CORED_COMPARATOR
EINASTO_LIKE_SURROGATE_DIAGNOSTIC,23.579571168863954,0.27671191461811634,NGC2403,RESPONSE_FAMILY_DOMINANT_ZONE,73,20.87,61.24827213780054,"{""amplitude"": 0.6731536868910775, ""extra"": 1.4, ""scale"": 0.15}",HALO_OR_CORED_COMPARATOR
BARYONIC_MISMATCH_PROXY,48.128984694096644,0.5509040569705449,NGC2403,RESPONSE_FAMILY_DOMINANT_ZONE,73,20.87,85.79768566303323,"{""gas_coef"": 6.35652107399754, ""stellar_coef"": -0.11275408584479493}",BARYONIC_SYSTEMATICS_PROXY
NUISANCE_GRADIENT_PROXY,78.26309464227532,0.5824613799831988,NGC2403,RESPONSE_FAMILY_DOMINANT_ZONE,73,20.87,115.93179561121191,"{""intercept"": -0.08671698255601396, ""slope"": 1.074218683017376}",NUISANCE_PROXY
OVERFLEX_POLY5_NULL,-37.66870096893659,0.10475048049686735,NGC2403,RESPONSE_FAMILY_DOMINANT_ZONE,73,20.87,0.0,"{""coef"": [0.07555237406539189, -3.8282816371127466, 32.92219094681041, -79.76440841062866, 81.3685225337694, -30.023308841575407], ""degree"": 5}",OVERFLEX_NULL
SN_RRF_LOCKED_N3_258993,20.654340928629765,0.20865736184107084,NGC2683,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,11,34.62,13.81779987529625,"{""amplitude"": 0.27892532506631207, ""scale"": 0.5}",SN_RRF_FAMILY
SN_RRF_SATURATING_FAMILY,22.26991044592619,0.2022351833789678,NGC2683,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,11,34.62,15.433369392592676,"{""amplitude"": 0.24656514316728098, ""n"": 8.0, ""scale"": 0.4}",SN_RRF_FAMILY
NFW_LIKE_DIAGNOSTIC,24.338327319028153,0.28397402890316276,NGC2683,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,11,34.62,17.50178626569464,"{""amplitude"": 0.21206085298042562, ""scale"": 2.0}",HALO_OR_CORED_COMPARATOR
BURKERT_LIKE_CORED_HALO_DIAGNOSTIC,21.434865450221764,0.22639418763646352,NGC2683,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,11,34.62,14.59832439688825,"{""amplitude"": 0.31485540870941137, ""scale"": 1.25}",HALO_OR_CORED_COMPARATOR
CORED_ISOTHERMAL_LIKE_DIAGNOSTIC,21.373905481379484,0.225446627818559,NGC2683,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,11,34.62,14.53736442804597,"{""amplitude"": 0.3156739985903879, ""scale"": 0.8}",HALO_OR_CORED_COMPARATOR
EINASTO_LIKE_SURROGATE_DIAGNOSTIC,22.57046347724815,0.20846487001537667,NGC2683,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,11,34.62,15.733922423914636,"{""amplitude"": 0.28466500748456186, ""extra"": 1.4, ""scale"": 0.25}",HALO_OR_CORED_COMPARATOR
BARYONIC_MISMATCH_PROXY,17.41744889528201,0.17739410235750044,NGC2683,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,11,34.62,10.580907841948497,"{""gas_coef"": 30.797332030350155, ""stellar_coef"": -0.3711047982631915}",BARYONIC_SYSTEMATICS_PROXY
NUISANCE_GRADIENT_PROXY,14.26660687026587,0.12755411983537793,NGC2683,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,11,34.62,7.4300658169323555,"{""intercept"": -0.22491576825247284, ""slope"": 0.611745755453799}",NUISANCE_PROXY
OVERFLEX_POLY5_NULL,6.836541053333514,0.03899627671621798,NGC2683,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,11,34.62,0.0,"{""coef"": [-0.21551579325149375, -3.694803105762946, 33.48979394992819, -84.38676982909983, 87.00357725506976, -31.92858803873504], ""degree"": 5}",OVERFLEX_NULL
SN_RRF_LOCKED_N3_258993,25.55325049707047,0.21802919166816614,NGC2841,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,50,63.64,101.88088936496074,"{""amplitude"": 0.5172550562287793, ""scale"": 0.15}",SN_RRF_FAMILY
SN_RRF_SATURATING_FAMILY,-55.985246227839,0.05212245754699397,NGC2841,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,50,63.64,20.342392640051273,"{""amplitude"": 0.6129389838126694, ""n"": 1.0, ""scale"": 0.4}",SN_RRF_FAMILY
NFW_LIKE_DIAGNOSTIC,-54.80335667360266,0.05038853769915188,NGC2841,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,50,63.64,21.524282194287615,"{""amplitude"": 0.6101765155275256, ""scale"": 0.8}",HALO_OR_CORED_COMPARATOR
BURKERT_LIKE_CORED_HALO_DIAGNOSTIC,1.480250208344116,0.1342622634837537,NGC2841,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,50,63.64,77.80788907623439,"{""amplitude"": 0.564968549766526, ""scale"": 0.25}",HALO_OR_CORED_COMPARATOR
CORED_ISOTHERMAL_LIKE_DIAGNOSTIC,-43.17338315680076,0.05921491567135769,NGC2841,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,50,63.64,33.15425571108951,"{""amplitude"": 0.5828092695770272, ""scale"": 0.1}",HALO_OR_CORED_COMPARATOR
EINASTO_LIKE_SURROGATE_DIAGNOSTIC,-35.721409710009574,0.06469953884649798,NGC2841,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,50,63.64,40.6062291578807,"{""amplitude"": 0.6514939584807566, ""extra"": 0.4, ""scale"": 0.05}",HALO_OR_CORED_COMPARATOR
BARYONIC_MISMATCH_PROXY,38.7193399099719,0.2834321286318358,NGC2841,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,50,63.64,115.04697877786217,"{""gas_coef"": 12.301292796495675, ""stellar_coef"": 0.13423202071635928}",BARYONIC_SYSTEMATICS_PROXY
NUISANCE_GRADIENT_PROXY,4.329489322088056,0.16179449908636478,NGC2841,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,50,63.64,80.65712818997832,"{""intercept"": 0.14382066773924773, ""slope"": 0.5534147658860248}",NUISANCE_PROXY
OVERFLEX_POLY5_NULL,-76.32763886789027,0.034814042388697036,NGC2841,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,50,63.64,0.0,"{""coef"": [0.040255925135406934, 0.8613313574192162, 4.701563455772556, -17.658827556389003, 20.669223431885634, -7.963480327423592], ""degree"": 5}",OVERFLEX_NULL
SN_RRF_LOCKED_N3_258993,154.81693223441854,7.333891562028248,NGC2903,HALO_COMPARATOR_DOMINANT_ZONE,34,24.96,93.54177297310324,"{""amplitude"": 0.3955747097665545, ""scale"": 0.8}",SN_RRF_FAMILY
