galaxy,stage8_class,n_points,rotmod_file,rrf_aic_v2,curve_level_rrf_A_kms2,curve_level_rrf_rc_kpc,best_destructive_null,best_destructive_null_aic_v2,delta_aic_rrf_minus_best_destructive_null,best_neighbor_null,best_neighbor_null_aic_v2,delta_aic_rrf_minus_best_neighbor_null
NGC0247,BARYONIC-ONLY-IMPROVEMENT-NFW-DOMINANT,26,/home/kei/a10_projects/A10_TVC_Galaxy_Rotation_Curve_Residual_Diagnostic/data/Rotmod_LTG/NGC0247_rotmod.dat,161.72121252058312,4761.738247008127,1.8868795068693138,shuffled_radius_rrf_nfixed,554.188661578123,-392.46744905753985,saturating_n1,38.562325887659114,123.15888663292401
NGC0289,ROBUST-DIAGNOSTIC-CANDIDATE,28,/home/kei/a10_projects/A10_TVC_Galaxy_Rotation_Curve_Residual_Diagnostic/data/Rotmod_LTG/NGC0289_rotmod.dat,63.28893554210363,21204.251952256443,6.827843038493158,shuffled_radius_rrf_nfixed,75.19501620755793,-11.906080665454297,saturating_n1,55.457134578174006,7.8318009639296235
NGC0300,WEAK-OR-REGIME-DEPENDENT-SIGNAL,25,/home/kei/a10_projects/A10_TVC_Galaxy_Rotation_Curve_Residual_Diagnostic/data/Rotmod_LTG/NGC0300_rotmod.dat,44.94206368961019,7342.766451363918,2.906784556533873,shuffled_radius_rrf_nfixed,411.544675917354,-366.60261222774386,saturating_n2,16.64280408682793,28.299259602782257
NGC0801,ROBUST-DIAGNOSTIC-CANDIDATE,13,/home/kei/a10_projects/A10_TVC_Galaxy_Rotation_Curve_Residual_Diagnostic/data/Rotmod_LTG/NGC0801_rotmod.dat,81.24479452413425,23638.463933204035,2.5992040358161796,shuffled_radius_rrf_nfixed,182.24589376772855,-101.0010992435943,saturating_n8,73.0663554503291,8.178439073805151
NGC0891,ROBUST-DIAGNOSTIC-CANDIDATE,18,/home/kei/a10_projects/A10_TVC_Galaxy_Rotation_Curve_Residual_Diagnostic/data/Rotmod_LTG/NGC0891_rotmod.dat,223.18651025564208,26409.378827121443,9.429072872889728,outer_step_median,308.20798234618434,-85.02147209054226,saturating_n8,179.69652744647934,43.48998280916274
NGC1003,BARYONIC-ONLY-IMPROVEMENT-NFW-DOMINANT,36,/home/kei/a10_projects/A10_TVC_Galaxy_Rotation_Curve_Residual_Diagnostic/data/Rotmod_LTG/NGC1003_rotmod.dat,315.2863023232723,9585.560481408793,6.773212761468839,shuffled_radius_rrf_nfixed,1011.1101808656489,-695.8238785423766,saturating_n1,83.29207194201072,231.9942303812616
NGC1090,WEAK-OR-REGIME-DEPENDENT-SIGNAL,24,/home/kei/a10_projects/A10_TVC_Galaxy_Rotation_Curve_Residual_Diagnostic/data/Rotmod_LTG/NGC1090_rotmod.dat,38.824334888359104,16880.63807413292,4.874004418503627,outer_step_median,869.2647344951347,-830.4403996067756,saturating_n2,36.088485770683995,2.7358491176751087
NGC1705,NUISANCE-SENSITIVE-DIAGNOSTIC-SIGNAL,14,/home/kei/a10_projects/A10_TVC_Galaxy_Rotation_Curve_Residual_Diagnostic/data/Rotmod_LTG/NGC1705_rotmod.dat,7.681651830628267,4413.8947966653,0.25021685369143276,shuffled_radius_rrf_nfixed,8.367976245079458,-0.6863244144511906,saturating_n1,4.674146118194403,3.007505712433864
NGC2366,ROBUST-DIAGNOSTIC-CANDIDATE,26,/home/kei/a10_projects/A10_TVC_Galaxy_Rotation_Curve_Residual_Diagnostic/data/Rotmod_LTG/NGC2366_rotmod.dat,11.533914097533142,2003.6174889919905,1.9254289104357913,outer_step_median,481.10473273266246,-469.5708186351293,saturating_n4,15.067632598295127,-3.533718500761985
NGC2403,BARYONIC-ONLY-IMPROVEMENT-NFW-DOMINANT,73,/home/kei/a10_projects/A10_TVC_Galaxy_Rotation_Curve_Residual_Diagnostic/data/Rotmod_LTG/NGC2403_rotmod.dat,2262.3445489642922,12623.372853472089,2.9622185380989627,outer_step_median,6226.605985390497,-3964.261436426205,exp_saturating,352.2180714421507,1910.1264775221416
NGC2683,ROBUST-DIAGNOSTIC-CANDIDATE,11,/home/kei/a10_projects/A10_TVC_Galaxy_Rotation_Curve_Residual_Diagnostic/data/Rotmod_LTG/NGC2683_rotmod.dat,12.698761952276055,19135.134712698316,3.130404109338659,shuffled_radius_rrf_nfixed,10.929021417140206,1.769740535135849,saturating_n4,12.844537366823584,-0.14577541454752918
NGC2841,ROBUST-DIAGNOSTIC-CANDIDATE,50,/home/kei/a10_projects/A10_TVC_Galaxy_Rotation_Curve_Residual_Diagnostic/data/Rotmod_LTG/NGC2841_rotmod.dat,76.7490258393455,63083.36838696662,3.58806669473571,constant_floor,193.91375376690496,-117.16472792755945,saturating_n2,75.19407541081681,1.5549504285286986
NGC2903,WEAK-OR-REGIME-DEPENDENT-SIGNAL,34,/home/kei/a10_projects/A10_TVC_Galaxy_Rotation_Curve_Residual_Diagnostic/data/Rotmod_LTG/NGC2903_rotmod.dat,929.2787425376008,23906.00330264495,6.152786266188065,shuffled_radius_rrf_nfixed,4175.6332324650375,-3246.3544899274366,saturating_n4,936.2716334986804,-6.992890961079638
NGC2915,ROBUST-DIAGNOSTIC-CANDIDATE,30,/home/kei/a10_projects/A10_TVC_Galaxy_Rotation_Curve_Residual_Diagnostic/data/Rotmod_LTG/NGC2915_rotmod.dat,20.024185693591928,6405.637087151737,1.810860941804743,shuffled_radius_rrf_nfixed,181.70738206333536,-161.68319636974343,saturating_n6,17.352613097228783,2.671572596363145
NGC2955,ROBUST-DIAGNOSTIC-CANDIDATE,24,/home/kei/a10_projects/A10_TVC_Galaxy_Rotation_Curve_Residual_Diagnostic/data/Rotmod_LTG/NGC2955_rotmod.dat,94.30287549039402,32319.50707735716,11.044576400827715,shuffled_radius_rrf_nfixed,123.21130315308241,-28.908427662688396,saturating_n6,92.4974646412254,1.8054108491686094
NGC2976,WEAK-OR-REGIME-DEPENDENT-SIGNAL,27,/home/kei/a10_projects/A10_TVC_Galaxy_Rotation_Curve_Residual_Diagnostic/data/Rotmod_LTG/NGC2976_rotmod.dat,15.416586010085217,3621.0416827885783,1.2086377842277103,outer_step_median,131.69790064579433,-116.28131463570912,saturating_n2,11.858976200618066,3.5576098094671504
NGC2998,BARYONIC-ONLY-IMPROVEMENT-NFW-DOMINANT,13,/home/kei/a10_projects/A10_TVC_Galaxy_Rotation_Curve_Residual_Diagnostic/data/Rotmod_LTG/NGC2998_rotmod.dat,45.336350775542044,28396.590451361597,1.883428867292742,shuffled_radius_rrf_nfixed,69.22587570469416,-23.889524929152117,saturating_n1,19.663609243423394,25.67274153211865
NGC3109,NUISANCE-SENSITIVE-DIAGNOSTIC-SIGNAL,25,/home/kei/a10_projects/A10_TVC_Galaxy_Rotation_Curve_Residual_Diagnostic/data/Rotmod_LTG/NGC3109_rotmod.dat,47.92852257846122,3654.0700622397244,2.4608454966738966,outer_step_median,414.25400238368314,-366.3254798052219,saturating_n2,7.60466712630289,40.32385545215833
NGC3198,BARYONIC-ONLY-IMPROVEMENT-NFW-DOMINANT,43,/home/kei/a10_projects/A10_TVC_Galaxy_Rotation_Curve_Residual_Diagnostic/data/Rotmod_LTG/NGC3198_rotmod.dat,104.4817569812316,17078.939414309356,5.5157211131286275,shuffled_radius_rrf_nfixed,1893.8413692855097,-1789.359612304278,saturating_n2,35.78978348560978,68.69197349562182
NGC3521,WEAK-OR-REGIME-DEPENDENT-SIGNAL,41,/home/kei/a10_projects/A10_TVC_Galaxy_Rotation_Curve_Residual_Diagnostic/data/Rotmod_LTG/NGC3521_rotmod.dat,54.38963633091515,26763.273898635394,4.838765173961326,shuffled_radius_rrf_nfixed,131.29510975128923,-76.90547342037408,saturating_n1,16.34691447628584,38.04272185462931
NGC3726,ROBUST-DIAGNOSTIC-CANDIDATE,12,/home/kei/a10_projects/A10_TVC_Galaxy_Rotation_Curve_Residual_Diagnostic/data/Rotmod_LTG/NGC3726_rotmod.dat,32.96151951536612,13376.714775278197,7.8836505591343125,shuffled_radius_rrf_nfixed,67.62820758752136,-34.66668807215524,saturating_n1,24.85921223566531,8.10230727970081
NGC3741,BARYONIC-ONLY-IMPROVEMENT-NFW-DOMINANT,21,/home/kei/a10_projects/A10_TVC_Galaxy_Rotation_Curve_Residual_Diagnostic/data/Rotmod_LTG/NGC3741_rotmod.dat,59.79956213936897,2163.0698662548666,2.188565236365109,outer_step_median,295.34543631766047,-235.5458741782915,arctan_saturating,10.117030121513118,49.682532017855856
NGC3769,ROBUST-DIAGNOSTIC-CANDIDATE,12,/home/kei/a10_projects/A10_TVC_Galaxy_Rotation_Curve_Residual_Diagnostic/data/Rotmod_LTG/NGC3769_rotmod.dat,6.9727382810749745,10623.338974852639,5.204362780505676,shuffled_radius_rrf_nfixed,39.43774731367937,-32.46500903260439,saturating_n4,6.443148020750376,0.5295902603245981
NGC3877,ROBUST-DIAGNOSTIC-CANDIDATE,13,/home/kei/a10_projects/A10_TVC_Galaxy_Rotation_Curve_Residual_Diagnostic/data/Rotmod_LTG/NGC3877_rotmod.dat,59.42355372904125,9979.390293630444,2.5146186409942675,shuffled_radius_rrf_nfixed,56.803579247195486,2.619974481845766,saturating_n8,44.75264347358368,14.67091025545757
NGC3893,ROBUST-DIAGNOSTIC-CANDIDATE,10,/home/kei/a10_projects/A10_TVC_Galaxy_Rotation_Curve_Residual_Diagnostic/data/Rotmod_LTG/NGC3893_rotmod.dat,5.535297620794564,20536.304378032444,4.206972570267574,shuffled_radius_rrf_nfixed,32.05642935345722,-26.521131732662653,saturating_n4,5.945743973184683,-0.4104463523901192
NGC3917,ROBUST-DIAGNOSTIC-CANDIDATE,17,/home/kei/a10_projects/A10_TVC_Galaxy_Rotation_Curve_Residual_Diagnostic/data/Rotmod_LTG/NGC3917_rotmod.dat,14.647601591136684,12572.996402810028,3.6612974208622937,shuffled_radius_rrf_nfixed,522.1448142821374,-507.49721269100075,saturating_n2,21.406409887075334,-6.75880829593865
NGC3953,WEAK-OR-REGIME-DEPENDENT-SIGNAL,8,/home/kei/a10_projects/A10_TVC_Galaxy_Rotation_Curve_Residual_Diagnostic/data/Rotmod_LTG/NGC3953_rotmod.dat,4.745370256360253,20639.708050169873,3.121156619259553,shuffled_radius_rrf_nfixed,4.760917281069219,-0.015547024708965296,saturating_n4,4.712414515561643,0.0329557407986103
NGC3972,ROBUST-DIAGNOSTIC-CANDIDATE,10,/home/kei/a10_projects/A10_TVC_Galaxy_Rotation_Curve_Residual_Diagnostic/data/Rotmod_LTG/NGC3972_rotmod.dat,16.783590497606998,10497.101136997611,2.623724068846401,shuffled_radius_rrf_nfixed,78.6302585025964,-61.84666800498941,saturating_n2,10.014495412490646,6.769095085116351
NGC3992,ROBUST-DIAGNOSTIC-CANDIDATE,9,/home/kei/a10_projects/A10_TVC_Galaxy_Rotation_Curve_Residual_Diagnostic/data/Rotmod_LTG/NGC3992_rotmod.dat,7.24924102557846,43090.89195989909,5.155411210648926,constant_floor,7.5967460694049205,-0.34750504382646064,exp_saturating,7.131974025811427,0.11726699976703259
NGC4010,ROBUST-DIAGNOSTIC-CANDIDATE,12,/home/kei/a10_projects/A10_TVC_Galaxy_Rotation_Curve_Residual_Diagnostic/data/Rotmod_LTG/NGC4010_rotmod.dat,13.270572857107753,11569.612160803768,5.08886139474887,outer_step_median,51.10168684487394,-37.83111398776619,saturating_n4,12.52943896105093,0.741133896056823
NGC4013,WEAK-OR-REGIME-DEPENDENT-SIGNAL,36,/home/kei/a10_projects/A10_TVC_Galaxy_Rotation_Curve_Residual_Diagnostic/data/Rotmod_LTG/NGC4013_rotmod.dat,95.72973808312997,20824.902054562237,8.18475822216528,shuffled_radius_rrf_nfixed,247.04516505580702,-151.31542697267705,saturating_n1,36.8509613736067,58.87877670952327
NGC4088,ROBUST-DIAGNOSTIC-CANDIDATE,12,/home/kei/a10_projects/A10_TVC_Galaxy_Rotation_Curve_Residual_Diagnostic/data/Rotmod_LTG/NGC4088_rotmod.dat,11.87828080081249,42480.21156866856,24.949769128208793,outer_step_median,27.643909379755726,-15.765628578943236,saturating_n4,11.653158018871737,0.22512278194075286
