galaxy,source_zone,injection_type,noise_level,background_mix,predicted_type,recovered,failure_boundary_score_proxy,rss_RESPONSE_FAMILY_LIKE,rss_HALO_LIKE,rss_RAR_LIKE,rss_NUISANCE_GRADIENT,rss_PATHOLOGY_OUTLIER,rss_MIXED_RESPONSE_HALO,corr_RESPONSE_FAMILY_LIKE,corr_HALO_LIKE,corr_RAR_LIKE,corr_NUISANCE_GRADIENT,corr_PATHOLOGY_OUTLIER,corr_MIXED_RESPONSE_HALO,rss_winner,rss_margin_best_vs_second,corr_winner,corr_margin_best_vs_second,rss_true_minus_best_wrong,rss_correct_margin,corr_true_minus_best_wrong,rss_margin_positive,corr_margin_positive
NGC5005,MIXED_THREE_WAY_COMPETITIVE_ZONE,HALO_LIKE,LOW,0.1,HALO_LIKE,True,0.0,0.0555356774466598,0.0248978065022825,0.0254607102059641,0.0552997056852485,0.988345057809248,0.0361028332875783,0.9718355429563896,0.9874726292397766,0.9871875656601616,0.9719569405661712,0.1079580575536254,0.9817826473881182,HALO_LIKE,0.0005629037036816026,HALO_LIKE,0.00028506357961499695,-0.0005629037036816026,0.0005629037036816026,0.00028506357961499695,True,True
NGC5005,MIXED_THREE_WAY_COMPETITIVE_ZONE,HALO_LIKE,MEDIUM,0.25,HALO_LIKE,True,0.0,0.1443226174253083,0.1246846545786461,0.1271041932013722,0.1555261122696888,0.9957878351522432,0.1300142835247937,0.9250283144718826,0.9355828907271416,0.9342889311121202,0.918952603636505,0.0649011929609705,0.9327302485044682,HALO_LIKE,0.0024195386227261056,HALO_LIKE,0.0012939596150214339,-0.0024195386227261056,0.0024195386227261056,0.0012939596150214339,True,True
NGC5005,MIXED_THREE_WAY_COMPETITIVE_ZONE,HALO_LIKE,HIGH,0.4,NUISANCE_GRADIENT,False,0.0,0.3314958342049227,0.3064520799984955,0.3048739260195904,0.2788087886146884,0.992175252314478,0.3163801044876617,0.8176210404552204,0.8327952449441005,0.8337422107464693,0.8492297753760828,0.0884576038875238,0.8268130958761709,NUISANCE_GRADIENT,0.026065137404902017,NUISANCE_GRADIENT,0.015487564629613537,0.02764329138380711,-0.02764329138380711,-0.016434530431982286,False,False
NGC5005,MIXED_THREE_WAY_COMPETITIVE_ZONE,RAR_LIKE,LOW,0.1,RAR_LIKE,True,0.0,0.0675171619023289,0.0267630986250875,0.0253611884445148,0.0299439521016889,0.985974170645796,0.0440771001018952,0.965651509654322,0.9865276992436208,0.9872379710867512,0.9849142337779015,0.1184306943077005,0.9777130969247088,RAR_LIKE,0.001401910180572702,RAR_LIKE,0.0007102718431303279,-0.001401910180572702,0.001401910180572702,0.0007102718431303279,True,True
NGC5005,MIXED_THREE_WAY_COMPETITIVE_ZONE,RAR_LIKE,MEDIUM,0.25,HALO_LIKE,False,0.0,0.1756900874985,0.1521675806223363,0.1530642641283013,0.1689572299977469,0.9995230954805464,0.1600352148699707,0.907915146091032,0.9207781596984498,0.9202911147412534,0.911615472665012,0.0218381436814931,0.9164959275032428,HALO_LIKE,0.0008966835059650013,HALO_LIKE,0.00048704495719642527,0.0008966835059650013,-0.0008966835059650013,-0.00048704495719642527,False,False
NGC5005,MIXED_THREE_WAY_COMPETITIVE_ZONE,RAR_LIKE,HIGH,0.4,MIXED_RESPONSE_HALO,False,0.0,0.3404853583302619,0.3352656466811354,0.338829528047139,0.3677305042076849,0.995172344489395,0.3334988242418367,0.8121050681221845,0.8153124268149387,0.8131238970494353,0.795153756070054,0.0694813321015418,0.8163952325670227,MIXED_RESPONSE_HALO,0.0017668224392987097,MIXED_RESPONSE_HALO,0.0010828057520840817,0.005330703805302317,-0.005330703805302317,-0.0032713355175874037,False,False
NGC5005,MIXED_THREE_WAY_COMPETITIVE_ZONE,NUISANCE_GRADIENT,LOW,0.1,NUISANCE_GRADIENT,True,0.0,0.1431790162486447,0.0656847355657627,0.0578881696980178,0.0202641375390035,0.9658454101679844,0.1055547934418632,0.9256462519512274,0.966599847110601,0.9706244537935268,0.9898160750669776,0.1848096042742793,0.945751133521994,NUISANCE_GRADIENT,0.0376240321590143,NUISANCE_GRADIENT,0.019191621273450754,-0.0376240321590143,0.0376240321590143,0.019191621273450754,True,True
NGC5005,MIXED_THREE_WAY_COMPETITIVE_ZONE,NUISANCE_GRADIENT,MEDIUM,0.25,NUISANCE_GRADIENT,True,0.0,0.2327284900870484,0.1600904788309471,0.1526269204186975,0.1119691953136709,0.9721686718075794,0.1977428820476529,0.8759403575089755,0.916465777412912,0.9205286956859644,0.942353863835836,0.166827240558671,0.8956880695601274,NUISANCE_GRADIENT,0.04065772510502659,NUISANCE_GRADIENT,0.021825168149871566,-0.04065772510502659,0.04065772510502659,0.021825168149871566,True,True
NGC5005,MIXED_THREE_WAY_COMPETITIVE_ZONE,NUISANCE_GRADIENT,HIGH,0.4,NUISANCE_GRADIENT,True,0.0,0.3354204997974015,0.3007167103376619,0.2985924354650926,0.2731168902423408,0.9983599603288078,0.3164299136452526,0.815217455776432,0.8362316004925537,0.8375007847965921,0.8525744013032878,0.040497403264807,0.8267829741563065,NUISANCE_GRADIENT,0.025475545222751805,NUISANCE_GRADIENT,0.015073616506695697,-0.025475545222751805,0.025475545222751805,0.015073616506695697,True,True
NGC5005,MIXED_THREE_WAY_COMPETITIVE_ZONE,PATHOLOGY_OUTLIER,LOW,0.1,PATHOLOGY_OUTLIER,True,0.0,0.9970327952140488,0.9750086276359264,0.9703120491216746,0.9414517995602492,0.0270199146616269,0.9906027211992522,0.0544720550920483,0.1580865976737868,0.1723019178022272,0.2419673540785013,0.9863975290613682,0.0969395626189209,PATHOLOGY_OUTLIER,0.9144318848986223,PATHOLOGY_OUTLIER,0.7444301749828669,-0.9144318848986223,0.9144318848986223,0.7444301749828669,True,True
