proxy,target,association_type,score,n,abs_score
roughness_rms_diff,median_abs_residual_norm,spearman_rank_correlation,0.0641025641025641,143,0.0641025641025641
negative_residual_v2_fraction,response_family_strength_axis,spearman_rank_correlation,0.06216453075951176,143,0.06216453075951176
best_n,response_family_strength_axis,spearman_rank_correlation,-0.059204125936828965,143,0.059204125936828965
negative_residual_v2_fraction,rar_competitiveness_axis,spearman_rank_correlation,-0.05584612515389509,143,0.05584612515389509
median_err_fraction,median_abs_residual_norm,spearman_rank_correlation,0.0549345021176007,143,0.0549345021176007
v_outer_kms,DCRRA_zone,eta_squared_numeric_vs_zone,0.05401802329376255,143,0.05401802329376255
rrf_rc_over_rlast,halo_competitiveness_axis,spearman_rank_correlation,0.050822417019600115,143,0.050822417019600115
negative_residual_v2_fraction,halo_competitiveness_axis,spearman_rank_correlation,-0.04859532687065478,143,0.04859532687065478
roughness_rms_diff,halo_competitiveness_axis,spearman_rank_correlation,-0.037328868314783804,143,0.037328868314783804
best_n,rar_competitiveness_axis,spearman_rank_correlation,0.03656879059959532,143,0.03656879059959532
kernel_curve_corr,halo_competitiveness_axis,spearman_rank_correlation,-0.03646295019534456,143,0.03646295019534456
gas_fraction_proxy,response_family_strength_axis,spearman_rank_correlation,-0.0348771952159015,143,0.0348771952159015
kernel_curve_rmse,halo_competitiveness_axis,spearman_rank_correlation,0.029761318493712857,143,0.029761318493712857
rrf_A_over_vouter2,median_err_fraction,spearman_rank_correlation,-0.026121179290193374,143,0.026121179290193374
outer_baryon_fraction_proxy,response_family_strength_axis,spearman_rank_correlation,-0.02151254710487678,143,0.02151254710487678
v_outer_kms,halo_competitiveness_axis,spearman_rank_correlation,-0.019813946716655564,143,0.019813946716655564
outer_baryon_fraction_proxy,rar_competitiveness_axis,spearman_rank_correlation,0.019444170852621557,143,0.019444170852621557
kernel_curve_rmse,rar_competitiveness_axis,spearman_rank_correlation,-0.018135033980104402,143,0.018135033980104402
kernel_curve_rmse,response_family_strength_axis,spearman_rank_correlation,0.01441078007607303,143,0.01441078007607303
best_n,median_abs_residual_norm,spearman_rank_correlation,0.012824185852435754,143,0.012824185852435754
best_n,median_err_fraction,spearman_rank_correlation,0.007433952704060013,143,0.007433952704060013
gas_fraction_proxy,rar_competitiveness_axis,spearman_rank_correlation,0.0026470280442728675,143,0.0026470280442728675
v_max_kms,halo_competitiveness_axis,spearman_rank_correlation,-0.0014856279858199498,143,0.0014856279858199498
