galaxy,zone,n_points,gas_fraction_proxy,outer_baryon_fraction_proxy,v_max_kms,median_err_fraction,roughness_rms_diff,negative_residual_v2_fraction,phase5_overflex_winner_flag,existing_aicc_overflex_flag,poly_aicc_high_flex_flag,nuisance_or_pathology_zone_flag,phase6_failure_boundary_score
UGC06667,NUISANCE_SENSITIVE_ZONE,9,0.4956522561010189,0.1622567335640138,85.7,0.0439844760672703,0.0245553776429425,0.0,1,0,0,1,3
UGC12732,NUISANCE_SENSITIVE_ZONE,16,0.3056730110039505,0.250601195861304,98.0,0.0439643884153229,0.0214894161833813,0.0,1,1,0,1,3
NGC3893,MIXED_THREE_WAY_COMPETITIVE_ZONE,10,0.0732720978196661,0.5758161479855373,194.0,0.0422675026123302,0.0344114562094452,0.4,1,1,1,0,3
NGC0289,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,28,0.2416826300158278,0.3135273116562636,194.0,0.0408065323041738,0.0865110111186277,0.25,1,1,1,0,3
UGC03580,HALO_COMPARATOR_DOMINANT_ZONE,47,0.006585651508296,0.3770999514023882,131.0,0.0396778916544655,0.0575368836147052,0.6382978723404256,1,0,1,0,3
UGC08550,NUISANCE_SENSITIVE_ZONE,11,0.2321282205554838,0.2179274102079395,57.8,0.0395348837209302,0.0241810495372847,0.0,1,0,1,1,3
UGC07399,NUISANCE_SENSITIVE_ZONE,10,0.2621766922791814,0.1524088038457913,106.0,0.0381790505675954,0.0251431388176336,0.0,1,0,1,1,3
UGC08699,RESPONSE_FAMILY_DOMINANT_ZONE,41,0.0166714132798353,0.5148080304311073,202.0,0.0320588235294117,0.0600446304830075,0.3414634146341463,1,1,1,0,3
NGC4013,RESPONSE_FAMILY_DOMINANT_ZONE,36,0.0406969536526795,0.4171963199091023,198.0,0.0295868347338935,0.0508758355737878,0.25,1,1,1,0,3
NGC6946,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,58,0.0418416542681228,0.7552493230251563,181.0,0.0295488197892169,0.0442616645073845,0.5517241379310345,1,1,0,0,3
NGC3953,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,8,0.0036726045377133,1.122566912666653,224.0,0.027354260089686,0.0107705716242341,1.0,1,0,1,0,3
UGC08286,NUISANCE_SENSITIVE_ZONE,17,0.1844248372604478,0.2105602065330416,84.3,0.0262295081967213,0.0298704027087106,0.0,1,1,1,1,3
NGC6195,RESPONSE_FAMILY_DOMINANT_ZONE,23,0.0206242180260503,1.0444750719849314,258.0,0.0259514170040485,0.0381102897771817,0.8695652173913043,1,1,1,0,3
IC4202,RESPONSE_FAMILY_DOMINANT_ZONE,32,0.0123581127406597,0.7197173681912087,250.0,0.0253129672249567,0.0502097253436565,0.3125,1,1,1,0,3
UGC02259,NUISANCE_SENSITIVE_ZONE,8,0.2031394959774515,0.2583479438596672,90.0,0.0223174628568541,0.0155549321317007,0.0,1,0,1,1,3
UGC05764,NUISANCE_SENSITIVE_ZONE,10,0.693184130007422,0.2141353999999999,55.8,0.0207189087439725,0.0350593213430432,0.0,1,0,1,1,3
UGC02953,RESPONSE_FAMILY_DOMINANT_ZONE,115,0.0,0.4124512195821854,319.0,0.01787072243346,0.0485481087057282,0.6434782608695652,1,0,0,0,3
UGC09133,RESPONSE_FAMILY_DOMINANT_ZONE,68,0.0093244541804845,0.365938415666359,289.0,0.0168096187943262,0.0682631701298468,0.4852941176470588,1,0,1,0,3
NGC5033,HALO_COMPARATOR_DOMINANT_ZONE,22,0.0891501620959167,0.3984446591440208,225.0,0.0153097091675996,0.0927766013768282,0.2727272727272727,1,1,1,0,3
UGC05716,NUISANCE_SENSITIVE_ZONE,12,0.5582940073721909,0.2012508350534809,74.7,0.0141141815577905,0.0213578866896723,0.0,1,1,1,1,3
DDO064,MIXED_THREE_WAY_COMPETITIVE_ZONE,14,0.2892437293785073,0.3551905283888228,46.9,0.1596913630448926,0.0272455260661935,0.0,1,0,1,0,2
UGCA444,NUISANCE_SENSITIVE_ZONE,36,0.895069351032576,0.2152550972099481,38.3,0.1392608817797131,0.0435169636649087,0.0,0,0,0,1,2
UGC04278,RESPONSE_FAMILY_DOMINANT_ZONE,25,0.0,0.2682147753195957,92.8,0.0930232558139534,0.0257024614981898,0.0,1,0,1,0,2
KK98-251,RESPONSE_FAMILY_DOMINANT_ZONE,15,0.6284665887812021,0.4100048715619281,34.6,0.091743119266055,0.0224612103702496,0.0,1,0,1,0,2
UGC07089,MIXED_THREE_WAY_COMPETITIVE_ZONE,12,0.1332505721817238,0.4705017137846743,79.1,0.0883163663299486,0.0215040361136297,0.0833333333333333,1,0,1,0,2
F583-4,PATHOLOGY_ARCHIVE_ZONE,12,0.0593960362422287,0.3577840003188776,69.9,0.0838020674977196,0.0233097695224504,0.0,0,0,1,1,2
NGC0300,RESPONSE_FAMILY_DOMINANT_ZONE,25,0.1550053289260283,0.2263246196619698,97.0,0.0779082177161152,0.0357798903240583,0.0,1,0,1,0,2
NGC0100,RESPONSE_FAMILY_DOMINANT_ZONE,21,0.0717130771642955,0.2797471119741931,91.2,0.0713375796178343,0.0231685348935245,0.1428571428571428,1,1,1,0,2
UGC06930,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,10,0.1871280919864963,0.3932738768861455,109.0,0.0673082997709863,0.0239939537747081,0.0,1,0,1,0,2
IC2574,RESPONSE_FAMILY_DOMINANT_ZONE,34,0.2116150179551619,0.2876462741128723,67.5,0.065634599592445,0.0532733588823509,0.0,1,0,0,0,2
NGC3741,NUISANCE_SENSITIVE_ZONE,21,0.7031385125061296,0.0835628471799457,51.6,0.0627906976744186,0.0301391628436453,0.0,1,0,0,1,2
UGC07323,MIXED_THREE_WAY_COMPETITIVE_ZONE,10,0.0459077926066851,0.6607498570561741,85.6,0.0622873859513134,0.0138598348773002,0.2,1,0,1,0,2
NGC3109,NUISANCE_SENSITIVE_ZONE,25,0.5353212660885707,0.1245184189629521,67.3,0.0603290676416818,0.0266509687576393,0.0,1,0,1,1,2
F571-8,RESPONSE_FAMILY_DOMINANT_ZONE,13,0.0083012805474973,0.2400174091209516,144.0,0.0578871201157742,0.0483886285990382,0.4615384615384615,1,0,1,0,2
UGC06399,MIXED_THREE_WAY_COMPETITIVE_ZONE,9,0.1233202339522139,0.3340797367674034,87.6,0.0572429906542056,0.0206842688894697,0.0,1,0,1,0,2
D631-7,RESPONSE_FAMILY_DOMINANT_ZONE,16,0.6260298172412903,0.1300743191614056,58.5,0.0542213592041372,0.0283268928742152,0.1875,1,1,1,0,2
UGC07524,RESPONSE_FAMILY_DOMINANT_ZONE,31,0.254429464385582,0.3926402956763204,83.8,0.0530232558139534,0.0265957520888721,0.032258064516129,1,1,1,0,2
ESO079-G014,RESPONSE_FAMILY_DOMINANT_ZONE,15,0.0126686798260807,0.5941916115182231,178.0,0.0524509803921568,0.0194770025671159,0.2,1,1,1,0,2
UGC12632,NUISANCE_SENSITIVE_ZONE,15,0.2285957538576277,0.3061159266571158,73.2,0.0523668639053254,0.0221180034261111,0.0,1,0,1,1,2
NGC2366,RESPONSE_FAMILY_DOMINANT_ZONE,26,0.5746768881382994,0.3613232799999999,53.7,0.0517786689211833,0.0344262210156236,0.1153846153846153,1,1,1,0,2
UGC12506,HALO_COMPARATOR_DOMINANT_ZONE,31,0.1186750773341874,0.3919813441677785,255.0,0.0515555555555555,0.0264943506232414,0.0,1,1,1,0,2
NGC3521,RESPONSE_FAMILY_DOMINANT_ZONE,41,0.0013894499413042,1.3059720929705214,220.0,0.0509523809523809,0.0437621095600193,0.902439024390244,1,0,1,0,2
NGC4183,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,23,0.2038578648370536,0.3486266000573276,115.0,0.0504854368932038,0.024761085766499,0.0,1,1,1,0,2
NGC4010,UNRESOLVED_TRIANGULAR_ZONE,12,0.0567674281678961,0.6494670720603538,129.0,0.0495777591973244,0.025552500799183,0.3333333333333333,1,1,1,0,2
UGC07603,RESPONSE_FAMILY_DOMINANT_ZONE,12,0.2690041200877587,0.1943062988158226,64.0,0.0479676308539945,0.0267375612177933,0.0833333333333333,1,1,1,0,2
UGC08490,RESPONSE_FAMILY_DOMINANT_ZONE,30,0.3698138427351224,0.1714426678863903,80.1,0.0470063694267515,0.0320656988404066,0.0,1,1,1,0,2
NGC4559,RESPONSE_FAMILY_DOMINANT_ZONE,32,0.1327742816631758,0.5037915596951735,124.0,0.0464378821474165,0.028151691297957,0.34375,1,1,1,0,2
UGC00191,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,9,0.0332466270052825,0.3506495960981557,83.85,0.0442764578833693,0.0299423396197693,0.0,1,0,1,0,2
DDO168,RESPONSE_FAMILY_DOMINANT_ZONE,10,0.6378034891254569,0.2702505461132719,55.0,0.0428002654280026,0.0279981245112187,0.0,1,0,1,0,2
NGC3972,MIXED_THREE_WAY_COMPETITIVE_ZONE,10,0.0385254628269916,0.5772315660503452,134.0,0.0427611940298507,0.0187605162550127,0.1,1,0,1,0,2
UGC04499,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,9,0.3223854713490127,0.3914409749687785,74.3,0.0411061285500747,0.0218873810769611,0.1111111111111111,1,0,1,0,2
NGC4088,MIXED_THREE_WAY_COMPETITIVE_ZONE,12,0.0497242113485385,0.9990734550801956,182.0,0.0406057042046456,0.0740395818781497,0.8333333333333334,0,0,1,0,2
UGC04325,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,8,0.1723621879624622,0.3678812856352852,92.7,0.0341184228472184,0.0237495611265567,0.0,1,0,1,0,2
NGC3726,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,12,0.0630373537125971,0.4410980725623583,169.0,0.0335061407652338,0.0329390849252065,0.6666666666666666,1,0,1,0,2
UGC05986,RESPONSE_FAMILY_DOMINANT_ZONE,15,0.1037790247211096,0.2709372118730809,116.0,0.0329464285714285,0.0257217308869127,0.0666666666666666,1,1,1,0,2
NGC5585,RESPONSE_FAMILY_DOMINANT_ZONE,24,0.0337531481386071,0.3066061063057451,92.3,0.0318684073043971,0.029256865584718,0.4583333333333333,1,1,1,0,2
UGC03205,RESPONSE_FAMILY_DOMINANT_ZONE,48,0.0001483734526184,0.5593770557941704,237.0,0.0308560646579901,0.0484537572202755,0.2916666666666667,1,0,1,0,2
ESO563-G021,RESPONSE_FAMILY_DOMINANT_ZONE,30,0.0048411271695432,0.4689661647920322,321.0,0.0302560713033899,0.0313438463774387,0.1666666666666666,1,1,1,0,2
NGC0801,PATHOLOGY_ARCHIVE_ZONE,13,0.0231009928853863,0.7427947498713993,238.0,0.0260504201680672,0.0261355792987691,0.6923076923076923,0,0,1,1,2
NGC1003,RESPONSE_FAMILY_DOMINANT_ZONE,36,0.3465203095997785,0.153368853635204,115.0,0.0257739462030506,0.0399856121282193,0.1111111111111111,1,1,1,0,2
NGC3992,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,9,0.06005394060121,0.4823361718978666,272.0,0.0249999999999999,0.0166039765322605,0.0,1,0,1,0,2
NGC6015,RESPONSE_FAMILY_DOMINANT_ZONE,44,0.1102062641318496,0.3217735275754422,166.0,0.0233782569631626,0.043745975629395,0.0909090909090909,1,1,1,0,2
UGC06786,NUISANCE_SENSITIVE_ZONE,45,0.0033743636140993,0.3260387246456261,229.0,0.0231050228310502,0.0380500358383716,0.1333333333333333,1,0,0,1,2
NGC5985,RESPONSE_FAMILY_DOMINANT_ZONE,33,0.0113540824358697,0.5100550994558077,305.0,0.0205645161290322,0.0281850369748367,0.0,1,1,1,0,2
NGC2403,RESPONSE_FAMILY_DOMINANT_ZONE,73,0.0372272421295695,0.2607046781020271,136.0,0.0201574803149606,0.0351998718284087,0.3835616438356164,1,1,1,0,2
DDO170,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,8,0.6484889010918328,0.2706209444444444,62.2,0.0196933010492332,0.0244935356362104,0.0,1,0,1,0,2
NGC2841,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,50,0.0407041214738189,0.2486075675267843,323.0,0.0196870160665892,0.0451751032869579,0.02,1,1,1,0,2
NGC3198,RESPONSE_FAMILY_DOMINANT_ZONE,43,0.0082695562326993,0.3169300572046304,157.0,0.0176119402985074,0.0348853233561451,0.2325581395348837,1,1,1,0,2
NGC6503,RESPONSE_FAMILY_DOMINANT_ZONE,31,0.1338904283183467,0.2571210699432892,121.0,0.0172413793103448,0.0847389795381475,0.1290322580645161,1,0,1,0,2
